accession	gtdb_taxonomy	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	plasmid_abundance	plasmid_prevalence
arch04714	d__Archaea;p__;c__;o__;f__;g__;s__Genus species_0012	d__Archaea	p__	c__	o__	f__	g__	s__Genus species_0012	0	0
arch02109	d__Archaea;p__;c__;o__;f__;g__;s__Genus species_0526	d__Archaea	p__	c__	o__	f__	g__	s__Genus species_0526	0	0
arch02110	d__Archaea;p__;c__;o__;f__;g__;s__Genus species_0528	d__Archaea	p__	c__	o__	f__	g__	s__Genus species_0528	0	0
arch03686	d__Archaea;p__;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus species_0700	d__Archaea	p__	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus species_0700	0	0
arch00006	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__;g__;s__Genus species_0046	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__	g__	s__Genus species_0046	0	0
arch00001	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__;g__;s__Genus species_0094	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__	g__	s__Genus species_0094	0	0
arch00005	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__;g__;s__Genus species_0469	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__	g__	s__Genus species_0469	0	0
GB_GCA_000405245.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__Aenigmatarchaeum;s__Aenigmatarchaeum subterraneum	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__Aenigmatarchaeum	s__Aenigmatarchaeum subterraneum	0	0
GB_GCA_011773475.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__CS1-C013;s__CS1-C013 sp011773475	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__CS1-C013	s__CS1-C013 sp011773475	0	0
GB_GCA_017608545.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__CS1-C013;s__CS1-C013 sp017608545	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__CS1-C013	s__CS1-C013 sp017608545	0	0
GB_GCA_018221065.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAAOXY01;s__JAAOXY01 sp018221065	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAAOXY01	s__JAAOXY01 sp018221065	0	0
GB_GCA_017609445.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAFCDY01;s__JAFCDY01 sp017609445	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAFCDY01	s__JAFCDY01 sp017609445	0	0
GB_GCA_016933455.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAFGAZ01;s__JAFGAZ01 sp016933455	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAFGAZ01	s__JAFGAZ01 sp016933455	0	0
GB_GCA_021163145.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAGGXH01;s__JAGGXH01 sp021163145	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAGGXH01	s__JAGGXH01 sp021163145	0	0
GB_GCA_018901755.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAHIDZ01;s__JAHIDZ01 sp018901755	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAHIDZ01	s__JAHIDZ01 sp018901755	0	0
GB_GCA_018901655.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__JAHIEG01;s__JAHIEG01 sp018901655	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__Aenigmatarchaeaceae	g__JAHIEG01	s__JAHIEG01 sp018901655	0	0
GB_GCA_013152905.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JAADFI01;g__JAADFI01;s__JAADFI01 sp013152905	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__JAADFI01	g__JAADFI01	s__JAADFI01 sp013152905	0	0
GB_GCA_015521825.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JAADFI01;g__WANL01;s__WANL01 sp015521825	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__JAADFI01	g__WANL01	s__WANL01 sp015521825	0	0
GB_GCA_016198755.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JACQIB01;g__JACQIB01;s__JACQIB01 sp016198755	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__JACQIB01	g__JACQIB01	s__JACQIB01 sp016198755	0	0
GB_GCA_018920255.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JAHLMR01;g__JAHLMR01;s__JAHLMR01 sp018920255	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__JAHLMR01	g__JAHLMR01	s__JAHLMR01 sp018920255	0	0
GB_GCA_018920245.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__JAHLMS01;g__JAHLMS01;s__JAHLMS01 sp018920245	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__JAHLMS01	g__JAHLMS01	s__JAHLMS01 sp018920245	0	0
GB_GCA_015521535.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__SZUA-1535;g__SZUA-1535;s__SZUA-1535 sp015521535	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__SZUA-1535	g__SZUA-1535	s__SZUA-1535 sp015521535	0	0
GB_GCA_015661515.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__SZUA-1535;g__SZUA-1535;s__SZUA-1535 sp015661515	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__Aenigmatarchaeales	f__SZUA-1535	g__SZUA-1535	s__SZUA-1535 sp015661515	0	0
arch00055	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0056	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0056	0	0
arch00025	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0353	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0353	0	0
arch00035	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0354	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0354	0	0
arch00024	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0355	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0355	0	0
arch00017	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0356	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0356	0	0
arch00018	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0357	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0357	0	0
arch00034	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0565	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0565	0	0
arch00022	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__;g__;s__Genus species_0580	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__	g__	s__Genus species_0580	0	0
arch00026	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__;s__Genus species_0515	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__	s__Genus species_0515	0	0
GB_GCA_002789635.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__CG10238-14;s__CG10238-14 sp002789635	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__CG10238-14	s__CG10238-14 sp002789635	0	0
GB_GCA_014728985.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__CG10238-14;s__CG10238-14 sp014728985	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__CG10238-14	s__CG10238-14 sp014728985	0	0
GB_GCA_017610225.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__CG10238-14;s__CG10238-14 sp017610225	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__CG10238-14	s__CG10238-14 sp017610225	0	0
GB_GCA_017608955.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAFCEW01;s__JAFCEW01 sp017608955	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAFCEW01	s__JAFCEW01 sp017608955	0	0
GB_GCA_018304545.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAGVVZ01;s__JAGVVZ01 sp018304545	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAGVVZ01	s__JAGVVZ01 sp018304545	0	0
GB_GCA_018920345.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAHLMN01;s__JAHLMN01 sp018920345	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAHLMN01	s__JAHLMN01 sp018920345	0	0
GB_GCA_018920365.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAHLMN01;s__JAHLMN01 sp018920365	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAHLMN01	s__JAHLMN01 sp018920365	0	0
GB_GCA_025058005.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAHLMN01;s__JAHLMN01 sp025058005	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAHLMN01	s__JAHLMN01 sp025058005	0	0
arch00029	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__JAHLMN01;s__JAHLMN01 species_0517	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__JAHLMN01	s__JAHLMN01 species_0517	0	0
GB_GCA_001784635.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__CG10238-14;g__RBG-16-49-10;s__RBG-16-49-10 sp001784635	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__CG10238-14	g__RBG-16-49-10	s__RBG-16-49-10 sp001784635	0	0
GB_GCA_002254545.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__EX4484-224;g__EX4484-224;s__EX4484-224 sp002254545	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__EX4484-224	g__EX4484-224	s__EX4484-224 sp002254545	0	0
GB_GCA_021161745.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__JAGHAA01;g__JAGHAA01;s__JAGHAA01 sp021161745	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__JAGHAA01	g__JAGHAA01	s__JAGHAA01 sp021161745	0	0
GB_GCA_014238095.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JABABT01;s__JABABT01 sp014238095	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JABABT01	s__JABABT01 sp014238095	0	0
GB_GCA_016213525.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JABABT01;s__JABABT01 sp016213525	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JABABT01	s__JABABT01 sp016213525	0	0
GB_GCA_016177025.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACOWB01;s__JACOWB01 sp016177025	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JACOWB01	s__JACOWB01 sp016177025	0	0
GB_GCA_016187415.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACOWB01;s__JACOWB01 sp016187415	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JACOWB01	s__JACOWB01 sp016187415	0	0
GB_GCA_018920185.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACOWB01;s__JACOWB01 sp018920185	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JACOWB01	s__JACOWB01 sp018920185	0	0
GB_GCA_016181005.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACPAE01;s__JACPAE01 sp016181005	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JACPAE01	s__JACPAE01 sp016181005	0	0
GB_GCA_016187385.1	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__CG10238-14;f__SCSR01;g__JACPAE01;s__JACPAE01 sp016187385	d__Archaea	p__Aenigmatarchaeota	c__Aenigmatarchaeia	o__CG10238-14	f__SCSR01	g__JACPAE01	s__JACPAE01 sp016187385	0	0
