phylum,level,mean_frac_cross,ci_lo,ci_hi,n_sampled,n_total
p__Halobacteriota,plasmid,0.221344823913073,0.13495282898160074,0.3199459396310372,11,536
p__Methanobacteriota,plasmid,0.11016377925296145,0.05197376771736831,0.15338016967126192,11,22
p__Methanobacteriota_B,plasmid,0.07692307692307693,0.07692307692307693,0.07692307692307693,11,11
p__Thermoproteota,plasmid,0.016778624874128532,0.0029321465428276574,0.03734873342266017,11,26
p__Halobacteriota,protein,0.2564406779661017,0.1864406779661017,0.32648305084745755,118,85314
p__Methanobacteriota_B,protein,0.08076271186440678,0.05084745762711865,0.11864406779661017,118,335
p__Methanobacteriota,protein,0.059322033898305086,0.059322033898305086,0.059322033898305086,118,118
p__Thermoproteota,protein,0.00711864406779661,0.0,0.021398305084745693,118,625
p__Halobacteriota,species,0.1839418927221899,0.1205609339195732,0.2352420137548136,7,179
p__Methanobacteriota,species,0.11174010295075076,0.054958265287606604,0.18919590643274853,7,14
p__Methanobacteriota_B,species,0.07435897435897436,0.07435897435897436,0.07435897435897436,7,7
p__Thermoproteota,species,0.02796609493127035,0.009900990099009901,0.037209302325581395,7,9
