group1,group2,U,p_raw,n1,n2,p_adj
Halobacteriota,Methanobacteriota,2223.0,0.00020836429064720238,407,21,0.0006945476354906746
Halobacteriota,Methanobacteriota_B,657.0,6.365651320221201e-05,407,11,0.00031828256601106004
Halobacteriota,Thermoplasmatota,137.5,0.10673591354286122,407,2,0.17789318923810205
Halobacteriota,Thermoproteota,931.0,1.0083925968568738e-10,407,23,1.0083925968568738e-09
Methanobacteriota,Methanobacteriota_B,71.0,0.08032719179933413,21,11,0.16065438359866827
Methanobacteriota,Thermoplasmatota,17.0,0.7021988983196541,21,2,0.8248995851703202
Methanobacteriota,Thermoproteota,108.5,0.0018361014114745228,21,23,0.004590253528686306
Methanobacteriota_B,Thermoplasmatota,13.0,0.7659179475582906,11,2,0.8248995851703202
Methanobacteriota_B,Thermoproteota,120.0,0.8248995851703202,11,23,0.8248995851703202
Thermoplasmatota,Thermoproteota,18.0,0.6521058873443655,2,23,0.8248995851703202
