archaea_family,bacteria_phylum,observed,expected,residual
GW2011-AR1,Verrucomicrobiota,13,0.07,49.973
Nitrosopumilaceae,Myxococcota,1,0.02,7.645
Nitrosopumilaceae,Acidobacteriota,4,0.31,6.661
Thermococcaceae,Myxococcota,2,0.09,6.381
Methanosarcinaceae,Desulfobacterota,15,3.37,6.333
Methanobacteriaceae,Bacillota,10,1.82,6.072
Methanosarcinaceae,Desulfobacterota_F,6,1.18,4.439
Methanocaldococcaceae,Chlamydiota,3,0.36,4.424
Methanosarcinaceae,Campylobacterota,18,6.7,4.367
Methanosarcinaceae,Deferribacterota,4,0.67,4.089
Methanocaldococcaceae,Bacillota_E,1,0.05,4.055
GW2011-AR1,Bacteroidota,19,7.73,4.053
GW2011-AR1,Bacillota_A,14,5.08,3.956
Thermococcaceae,Desulfobacterota_F,3,0.5,3.539
Thermococcaceae,Nitrospirota,3,0.52,3.416
Nitrosopumilaceae,Desulfobacterota,2,0.26,3.382
Methanosarcinaceae,Nitrospirota,5,1.24,3.377
Methanothermobacteraceae,Desulfobacterota_F,1,0.08,3.149
Methanosarcinaceae,Planctomycetota,8,2.87,3.025
Methanocaldococcaceae,Campylobacterota,4,1.05,2.885
QS-9-68-17,Spirochaetota,29,17.67,2.697
GW2011-AR1,Bacillota_C,4,1.13,2.69
Halobacteriaceae,Bacillota_B,4,1.14,2.682
,Fusobacteriota,11,5.13,2.593
Halococcaceae,Bacillota_C,17,9.23,2.556
Methanosarcinaceae,Chlamydiota,6,2.28,2.46
Thermococcaceae,Chloroflexota,4,1.33,2.312
Haloarculaceae,Pseudomonadota,1025,955.86,2.236
Halococcaceae,Deferribacterota,4,1.41,2.18
QS-9-68-17,Chlamydiota,12,6.52,2.145
Thermococcaceae,Chlamydiota,3,0.97,2.068
Natrialbaceae,Pseudomonadota,1080,1015.4,2.027
QS-9-68-17,Chloroflexota,15,8.98,2.007
Methanosarcinaceae,Cyanobacteriota,32,22.78,1.931
Thermococcaceae,Campylobacterota,6,2.84,1.879
Halalkalicoccaceae,Bacillota_C,17,10.91,1.845
Natrialbaceae,Actinomycetota,746,700.03,1.738
