replicon_name,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
CP002989.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475
CP007061.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955
CP031298.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans
CP040680.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica
CP046867.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum
CP050016.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida
CP050017.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida
CP119561.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002]
CP119562.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002]
CP119781.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007]
CP119793.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001]
CP119808.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0012]
CP126163.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0003]
NC_002608.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum
NC_004852.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_006393.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui
NC_006394.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui
NC_006422.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_006423.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_006424.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_006425.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_010597.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
NC_010598.1,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus islandicus
