family,category,OR,p,plasmids_with,plasmids_total,analysis,p_adj,significant
Haloferacaceae,Capsid & head,2.2109375,0.3791262255325976,3,99,all_families,0.8744944231076631,False
Haloferacaceae,DNA packaging,0.2560296846011132,0.3104858861802453,1,99,all_families,0.8659241164364161,False
Haloferacaceae,Integrase,1.971698113207547,0.253209536188444,95,99,all_families,0.7976100389935986,False
Haloferacaceae,Lysis & membrane,0.8618951612903226,0.6693666875067117,19,99,all_families,1.0,False
Haloferacaceae,Metabolic enzymes,0.6854082998661312,0.2493974067895586,16,99,all_families,0.7976100389935986,False
Haloferacaceae,Osmolyte transport,1.7120315581854044,0.0779972247140381,21,99,all_families,0.545980572998267,False
Haloferacaceae,Phage replication,0.9015151515151516,0.7811912555183197,21,99,all_families,1.0,False
Haloferacaceae,Prophage maintenance,1.8444070647603028,0.0721117710290493,17,99,all_families,0.545980572998267,False
Haloferacaceae,Tail & baseplate,2.25,0.2072451989131299,6,99,all_families,0.7680263253839523,False
Haloarculaceae,Capsid & head,1.2478260869565216,0.6795782474444045,2,94,all_families,1.0,False
Haloarculaceae,DNA packaging,1.0366300366300367,1.0,3,94,all_families,1.0,False
Haloarculaceae,Integrase,1.3793357933579335,0.6410461062492779,89,94,all_families,1.0,False
Haloarculaceae,Lysis & membrane,0.6501726121979287,0.191536153650274,15,94,all_families,0.7680263253839523,False
Haloarculaceae,Metabolic enzymes,0.8190196899874319,0.5592835236482252,17,94,all_families,1.0,False
Haloarculaceae,Osmolyte transport,1.2784657203261856,0.4184118659109967,17,94,all_families,0.9089637087032,False
Haloarculaceae,Phage replication,0.3766645529486366,0.0042332118335787,11,94,all_families,0.0690322340207794,False
Haloarculaceae,Prophage maintenance,0.9731497418244406,1.0,11,94,all_families,1.0,False
Haloarculaceae,Tail & baseplate,0.5072463768115942,0.5320973087388607,2,94,all_families,1.0,False
Natrialbaceae,Capsid & head,1.342528735632184,0.6637935371952086,2,89,all_families,1.0,False
Natrialbaceae,DNA packaging,2.4659863945578238,0.157598767839909,5,89,all_families,0.7091944552795906,False
Natrialbaceae,Integrase,2.40632603406326,0.2259411257401632,86,89,all_families,0.7907939400905714,False
Natrialbaceae,Lysis & membrane,2.27724358974359,0.0030189944590189,29,89,all_families,0.0690322340207794,False
Natrialbaceae,Metabolic enzymes,1.2725659229208923,0.4539691831490471,21,89,all_families,0.953335284612999,False
Natrialbaceae,Osmolyte transport,0.9098544232922732,0.8684617929554995,13,89,all_families,1.0,False
