system_a,system_b,obs_excess,direction,perm_p_value,n_cooccur,p_adjusted,significant,at_perm_floor
BREX,RM,0.04415983956909659,enriched,1.999960000799984e-05,23,0.002399952000959981,True,True
BREX,DISARM,0.008760916195251224,enriched,0.0019199616007679846,2,0.11519769604607907,False,False
RM,Tiamat,0.009149505836767335,enriched,0.0032999340013199737,5,0.13199736005279894,False,False
BREX,Shango,0.004368130285763458,enriched,0.00497990040199196,2,0.1493970120597588,False,False
CBASS,pAgo,0.008274413929583162,enriched,0.007659846803063939,3,0.1649109874945358,False,False
RM,SoFIC,0.01528778579693572,enriched,0.00885982280354393,14,0.1649109874945358,False,False
HEC-05,pAgo,0.008513953004460652,enriched,0.009619807603847922,4,0.1649109874945358,False,False
Druantia,Hachiman,0.002965085141423103,enriched,0.012559748805023899,1,0.17257836661448592,False,False
Cas,SoFIC,0.010691931059992268,enriched,0.014039719205615888,8,0.17257836661448592,False,False
DISARM,Shango,0.0030683389380059857,enriched,0.01513969720605588,1,0.17257836661448592,False,False
RM,pAgo,0.01529554149034424,enriched,0.015819683606327874,13,0.17257836661448592,False,False
CBASS,RM,0.009449051420044822,enriched,0.022699546009079818,6,0.2123157536849263,False,False
DISARM,RM,0.008218189764619686,enriched,0.024299514009719806,3,0.2123157536849263,False,False
HEC-05,RM,0.008728542815779717,enriched,0.0250994980100398,6,0.2123157536849263,False,False
HEC-05,Shango,0.0029581158571309277,enriched,0.026539469210615788,1,0.2123157536849263,False,False
BREX,SoFIC,0.006539993015549588,enriched,0.03579928401431971,4,0.2684946301073978,False,False
BREX,pAgo,0.007138751631880444,enriched,0.03901921961560769,4,0.27542978552193664,False,False
CBASS,HEC-05,0.0057068943662301,enriched,0.043059138817223654,1,0.28268908306044405,False,False
AbiE,SoFIC,0.004859902089164843,enriched,0.04475910481790364,3,0.28268908306044405,False,False
DISARM,HEC-05,0.002784761531253964,enriched,0.04905901881962361,1,0.2924512938312662,False,False
BREX,Hachiman,0.005425487032851832,enriched,0.05117897642047159,1,0.2924512938312662,False,False
Shango,pAgo,0.002706122861575573,enriched,0.05863882722345553,1,0.3198481484915756,False,False
RM,Shango,0.0034348558790671556,enriched,0.07173856522869543,2,0.3742881664105848,False,False
