subtype,count,instances
RM_Type_IIG_2,72,105
Ceres,57,64
SoFic,38,44
CAS_Class1-Subtype-I-B,28,29
pAgo_S2B,16,16
BREX_I,15,16
pAgo_LongA,13,14
HEC-05,12,12
AbiE,12,13
RM_Type_I,11,11
RM_Type_IV,9,9
BREX,9,10
CAS_Class1-Subtype-I-D,9,9
Tiamat,8,8
DISARM_2,7,7
DS-11,7,8
CBASS_I,7,7
Hachiman,6,6
RM_Type_II,5,6
Prometheus,4,4
RM_Type_IV_1,3,3
Shango,3,3
Druantia_I,3,3
Kiwa,2,2
Hna,2,2
CAS_Class1-Subtype-III-A,2,3
Gabija,2,2
CBASS_II,2,2
Avs_II,2,2
Shedu,1,1
Viperin,1,1
UG21,1,1
Azaca,1,1
pAgo_LongB,1,1
ShosTA,1,1
CAS_Cluster,1,1
RloC,1,1
RM_Type_III,1,1
RM_Type_IIG,1,1
Pycsar,1,1
PD-T7-4,1,1
CAS_Class1-Subtype-IV-E,1,1
CBASS_IV,1,1
PD-T7-2,1,1
