subtype,a,b,c,d,OR,p_raw,p_adj_bh,significant
pAgo_S2B,11,5,99,292,6.488888888888889,0.00045660578203684745,0.020090654409621288,True
RM_Type_IIG_2,29,41,81,256,2.235471243601325,0.004629113243787414,0.05092024568166155,False
HEC-05,8,4,102,293,5.745098039215686,0.00416246075156805,0.05092024568166155,False
Ceres,25,31,85,266,2.523719165085389,0.0031267485757583953,0.05092024568166155,False
Tiamat,6,2,104,295,8.509615384615385,0.00596890976836048,0.05252640596157222,False
Druantia_I,3,0,107,297,inf,0.019349398659743486,0.14189559017145223,False
BREX_I,8,7,102,290,3.249299719887955,0.03321723390001716,0.2087940416572507,False
Kiwa,2,0,108,297,inf,0.07256024497403807,0.35473897542863053,False
Avs_II,2,0,108,297,inf,0.07256024497403807,0.35473897542863053,False
DISARM_2,4,3,106,294,3.69811320754717,0.08895705722889341,0.39141105180713104,False
pAgo_LongA,6,7,104,290,2.39010989010989,0.12226952615642193,0.48907810462568774,False
Pycsar,1,0,109,297,inf,0.2702702702702703,0.6258890469416786,False
Shango,2,1,108,296,5.481481481481482,0.17898193760262726,0.6258890469416786,False
pAgo_LongB,1,0,109,297,inf,0.2702702702702703,0.6258890469416786,False
Shedu,1,0,109,297,inf,0.2702702702702703,0.6258890469416786,False
BREX,4,5,106,292,2.2037735849056603,0.2601738438407404,0.6258890469416786,False
RM_Type_I,4,5,106,292,2.2037735849056603,0.2601738438407404,0.6258890469416786,False
CAS_Class1-Subtype-I-D,4,5,106,292,2.2037735849056603,0.2601738438407404,0.6258890469416786,False
UG21,1,0,109,297,inf,0.2702702702702703,0.6258890469416786,False
Prometheus,2,2,108,295,2.7314814814814814,0.2959404314815718,0.6510689492594579,False
Hachiman,3,3,107,294,2.7476635514018692,0.3503100911920754,0.7006201823841508,False
SoFic,13,25,97,272,1.4581443298969072,0.33735346976575303,0.7006201823841508,False
DS-11,3,4,107,293,2.053738317757009,0.39377450285620463,0.7219199219030419,False
CBASS_I,3,4,107,293,2.053738317757009,0.39377450285620463,0.7219199219030419,False
Gabija,1,1,109,296,2.7155963302752295,0.46798029556650245,0.7919666540356195,False
RM_Type_IV_1,1,1,109,296,2.7155963302752295,0.46798029556650245,0.7919666540356195,False
AbiE,4,7,106,290,1.5633423180592991,0.49758506176435735,0.810879359912286,False
RM_Type_II,1,3,109,294,0.8990825688073395,1.0,1.0,False
CAS_Cluster,0,1,110,296,0.0,1.0,1.0,False
Viperin,0,1,110,296,0.0,1.0,1.0,False
CBASS_II,0,2,110,295,0.0,1.0,1.0,False
CBASS_IV,0,1,110,296,0.0,1.0,1.0,False
CAS_Class1-Subtype-I-B,6,22,104,275,0.7211538461538461,0.6596495267287004,1.0,False
ShosTA,0,1,110,296,0.0,1.0,1.0,False
CAS_Class1-Subtype-III-A,0,2,110,295,0.0,1.0,1.0,False
Hna,0,2,110,295,0.0,1.0,1.0,False
RloC,0,1,110,296,0.0,1.0,1.0,False
PD-T7-4,0,1,110,296,0.0,1.0,1.0,False
RM_Type_IV,2,7,108,290,0.7671957671957672,1.0,1.0,False
RM_Type_III,0,1,110,296,0.0,1.0,1.0,False
Azaca,0,1,110,296,0.0,1.0,1.0,False
RM_Type_IIG,0,1,110,296,0.0,1.0,1.0,False
PD-T7-2,0,1,110,296,0.0,1.0,1.0,False
CAS_Class1-Subtype-IV-E,0,0,110,297,,1.0,1.0,False
