type,count,pct
RM,92,19.82758620689655
Ceres,57,12.28448275862069
SoFIC,38,8.189655172413794
Cas,37,7.974137931034483
pAgo,29,6.25
BREX,23,4.956896551724138
HEC-05,12,2.586206896551724
AbiE,12,2.586206896551724
CBASS,10,2.1551724137931036
Tiamat,8,1.7241379310344827
DISARM,7,1.5086206896551724
DS-11,7,1.5086206896551724
Hachiman,6,1.293103448275862
Prometheus,4,0.8620689655172413
Shango,3,0.646551724137931
Druantia,3,0.646551724137931
Kiwa,2,0.43103448275862066
Gabija,2,0.43103448275862066
Avs,2,0.43103448275862066
Hna,2,0.43103448275862066
All_UG,1,0.21551724137931033
PD-T7-2,1,0.21551724137931033
PD-T7-4,1,0.21551724137931033
Pycsar,1,0.21551724137931033
Azaca,1,0.21551724137931033
RloC,1,0.21551724137931033
Shedu,1,0.21551724137931033
ShosTA,1,0.21551724137931033
Viperin,1,0.21551724137931033
