replicon,size_kb,n_instances,density_per_kb
CP002989.1,705.81,9,0.01275130700896842
CP007061.1,315.592,4,0.012674592511850744
CP031304.1,987.326,6,0.006077020153424502
CP040680.1,316.071,1,0.003163846097870415
CP046867.1,316.107,1,0.003163485781713154
CP050015.1,535.368,1,0.0018678740604593474
CP050016.1,355.823,2,0.005620772125466876
CP050017.1,255.392,2,0.007831098859792007
CP050018.1,133.715,1,0.0074785925288860635
CP050019.1,53.962,1,0.018531559245394905
CP104004.1,249.332,1,0.004010716634848315
CP119561.1,363.408,6,0.016510368511425174
CP119780.1,284.46,1,0.0035154327497714973
CP119781.1,200.553,1,0.004986213120721206
CP119793.1,330.897,4,0.01208835377776166
CP119803.1,163.478,4,0.02446812415126194
CP119805.1,430.223,1,0.0023243759631632896
CP119807.1,102.607,2,0.019491847534768583
CP119808.1,131.528,3,0.02280883157958762
CP120469.1,429.105,1,0.0023304319455611094
CP126163.1,258.123,2,0.007748244054191219
NC_001336.1,13.514,1,0.07399733609590055
NC_001732.1,58.407,1,0.017121235468351398
NC_001733.1,16.55,1,0.060422960725075525
NC_001869.1,191.346,3,0.015678404565551408
NC_002608.1,365.425,3,0.008209618936854348
NC_006389.1,33.303,1,0.030027324865627723
NC_006392.1,50.06,1,0.01997602876548142
NC_006394.1,155.3,3,0.01931745009658725
NC_008213.1,46.867,1,0.02133697484370666
NC_010366.1,147.625,2,0.013547840812870448
NC_010367.1,40.894,1,0.024453465055998436
NC_010369.1,194.963,2,0.010258356713838011
NC_012030.1,431.338,9,0.020865307485081305
NC_012624.1,42.245,1,0.023671440407148775
NC_013744.1,698.495,2,0.00286329894988511
NC_013746.1,180.781,1,0.005531554754094733
NC_013923.1,378.348,1,0.002643069343567298
NC_013924.1,254.95,1,0.003922337713277113
NC_013966.1,635.786,4,0.006291425102157015
NC_013968.1,85.092,1,0.011751986085648475
NC_014254.1,163.915,1,0.006100722935667877
NC_014298.1,406.285,2,0.0049226528176034064
NC_014299.1,363.534,1,0.0027507743429775484
NC_014300.1,44.576,1,0.02243359655419957
NC_014301.1,44.459,1,0.022492633662475538
NC_014736.1,210.35,1,0.004753981459472308
NC_015471.1,54.159,3,0.055392455547554426
NC_015658.1,436.718,1,0.0022898071524416214
NC_015667.1,181.778,2,0.01100243153736976
NC_017457.1,100.258,2,0.019948532785413635
NC_017944.1,504.705,1,0.0019813554452601024
NC_018225.1,95.989,4,0.041671441519340754
NC_019963.1,275.821,4,0.014502159008922452
NC_019972.1,285.109,2,0.00701486098299247
NC_021913.1,330.369,6,0.018161510311197476
NC_023011.1,125.764,2,0.01590280207372539
NZ_AP017559.1,138.02,2,0.014490653528474133
NZ_AP017570.1,141.523,3,0.021197967821484847
NZ_AP017571.1,103.081,1,0.009701108836740038
NZ_CP007057.1,464.581,1,0.0021524771783607162
NZ_CP007554.1,505.931,1,0.00197655411508684
NZ_CP008875.1,124.256,4,0.03219160442956477
NZ_CP010531.1,133.853,1,0.007470882236483306
NZ_CP010532.1,116.496,2,0.017167971432495537
NZ_CP010533.1,104.322,1,0.009585705795517725
NZ_CP011565.1,124.256,4,0.03219160442956477
NZ_CP014751.1,49.106,1,0.020364110292021342
NZ_CP019068.1,276.813,4,0.014450188394331192
NZ_CP019156.1,129.893,1,0.007698644268744274
NZ_CP019157.1,100.322,1,0.009967903351209107
NZ_CP019286.1,216.196,2,0.009250864955873375
NZ_CP019328.1,202.531,2,0.009875031476662832
NZ_CP019329.1,180.835,2,0.011059805900406448
NZ_CP024045.1,101.047,1,0.009896384850614072
NZ_CP026311.1,198.037,3,0.01514868433676535
NZ_CP026312.1,118.877,2,0.016824112317773834
NZ_CP026313.1,129.442,1,0.0077254677770739015
NZ_CP027032.1,235.493,3,0.012739232164013368
NZ_CP030065.1,300.774,2,0.006649510928471211
NZ_CP031147.1,225.191,6,0.026644048829660157
NZ_CP031149.1,147.062,1,0.006799853123172539
