replicon,has_viral_protein
AB190359.1,0
AP027740.1,1
CP002989.1,1
CP002990.1,0
CP003317.1,0
CP007061.1,1
CP031298.1,1
CP031299.1,1
CP031300.1,1
CP031301.1,1
CP031302.1,0
CP031304.1,1
CP040679.1,1
CP040680.1,1
CP040681.1,1
CP046867.1,1
CP046868.1,1
CP050015.1,1
CP050016.1,1
CP050017.1,1
CP050018.1,1
CP050019.1,1
CP104004.1,1
CP119561.1,1
CP119562.1,0
CP119780.1,1
CP119781.1,1
CP119793.1,1
CP119803.1,1
CP119805.1,1
CP119807.1,1
CP119808.1,1
CP120469.1,1
CP126163.1,1
CP135527.1,1
KF527230.1,1
NC_000905.1,0
NC_001336.1,0
NC_001337.1,0
NC_001375.1,0
NC_001732.1,0
NC_001733.1,0
NC_001771.1,1
NC_001773.1,0
NC_001811.1,1
NC_001869.1,1
NC_002097.1,1
NC_002101.1,1
NC_002121.1,0
NC_002125.1,0
NC_002608.1,1
NC_004852.1,1
NC_004853.1,1
NC_005562.1,1
NC_005907.1,0
NC_006389.1,1
NC_006390.1,1
NC_006391.1,0
NC_006392.1,1
NC_006393.1,1
NC_006394.1,1
NC_006422.1,1
NC_006423.1,1
NC_006424.1,1
NC_006425.1,1
NC_007427.1,1
NC_007428.1,1
NC_008213.1,1
NC_008696.1,1
NC_009136.1,1
NC_009658.1,0
NC_010011.1,1
NC_010088.1,1
NC_010365.1,0
NC_010366.1,1
NC_010367.1,1
NC_010369.1,1
NC_010597.1,1
NC_010598.1,1
NC_011299.1,1
NC_012030.1,1
NC_012624.1,1
NC_012890.1,0
NC_013157.1,1
NC_013201.1,1
NC_013408.1,0
NC_013409.1,0
NC_013536.1,0
NC_013742.1,0
NC_013744.1,1
NC_013745.1,1
NC_013746.1,1
NC_013747.1,1
NC_013748.1,1
NC_013749.1,1
NC_013770.1,1
NC_013777.1,0
NC_013888.1,1
NC_013923.1,1
NC_013924.1,1
NC_013925.1,1
NC_013964.1,1
NC_013965.1,0
NC_013966.1,1
NC_013968.1,0
NC_014115.1,0
NC_014254.1,0
NC_014298.1,1
NC_014299.1,1
NC_014300.1,1
NC_014301.1,0
NC_014302.1,1
NC_014303.1,0
NC_014409.1,0
NC_014731.1,1
NC_014732.1,0
NC_014735.1,1
NC_014736.1,1
NC_014737.1,1
NC_015430.1,0
NC_015471.1,0
NC_015632.1,1
NC_015658.1,1
NC_015659.1,1
NC_015667.1,1
NC_015944.1,1
NC_016049.1,0
NC_016637.1,1
NC_017457.1,1
NC_017458.1,0
NC_017460.1,0
NC_017942.1,1
NC_017943.1,1
NC_017944.1,1
NC_018225.1,1
NC_019285.1,1
NC_019963.1,1
NC_019967.1,1
NC_019972.1,1
NC_019975.1,0
NC_019976.1,1
NC_021913.1,1
NC_021914.1,1
NC_023011.1,1
NC_025188.1,0
NZ_AP011527.1,0
NZ_AP011953.1,0
NZ_AP017559.1,1
NZ_AP017570.1,1
NZ_AP017571.1,1
NZ_AP025699.1,0
NZ_CP007056.1,1
NZ_CP007057.1,1
NZ_CP007058.1,1
NZ_CP007059.1,1
NZ_CP007552.1,1
NZ_CP007554.1,1
NZ_CP008875.1,1
NZ_CP008888.1,0
NZ_CP009519.1,1
NZ_CP009523.1,1
NZ_CP009525.1,1
NZ_CP009527.1,1
NZ_CP009529.1,1
NZ_CP010530.1,1
NZ_CP010531.1,1
NZ_CP010532.1,1
NZ_CP010533.1,1
NZ_CP010534.1,1
NZ_CP011565.1,1
NZ_CP011948.1,1
NZ_CP011949.1,1
NZ_CP011950.1,1
NZ_CP011951.1,0
NZ_CP014751.1,0
NZ_CP014863.1,0
NZ_CP019068.1,1
NZ_CP019069.1,1
NZ_CP019156.1,1
NZ_CP019157.1,1
NZ_CP019286.1,1
NZ_CP019287.1,0
NZ_CP019328.1,1
NZ_CP019329.1,1
NZ_CP019330.1,1
NZ_CP024045.1,1
NZ_CP024046.1,1
NZ_CP026310.1,1
NZ_CP026311.1,1
NZ_CP026312.1,1
NZ_CP026313.1,1
NZ_CP026314.1,1
NZ_CP027032.1,1
