plasmid,hdbscan_subtype,ward_cluster
CP002989.1_v1,ST1,W1
CP002989.1_v2,ST2,W2
CP002989.1_v4,ST1,W1
CP007061.1_v1,ST1,W1
CP031298.1_v1,ST2,W2
CP040680.1_v1,ST2,W2
CP046867.1_v1,ST2,W2
CP050016.1_v1,ST5,W4
CP050017.1_v1,ST5,W4
CP119561.1_v1,ST5,W4
CP119562.1_v1,ST5,W4
CP119781.1_v1,ST1,W1
CP119793.1_v1,ST4,W5
CP119808.1_v1,ST1,W1
CP126163.1_v1,ST5,W4
NC_004852.1_v1,ST3,W5
NC_006393.1_v1,ST5,W4
NC_006394.1_v1,ST1,W3
NC_006422.1_v1,ST3,W5
NC_006423.1_v1,ST3,W5
NC_006424.1_v1,ST3,W5
NC_006425.1_v1,ST3,W5
NC_010597.1_v1,ST3,W5
NC_010598.1_v1,ST3,W5
NC_012624.1_v1,ST3,W5
NC_014299.1_v1_v1,ST1,W5
NC_015667.1_v1,ST1,W1
NC_019963.1_v1_v1,ST2,W2
NC_019963.1_v2,ST2,W2
NC_021914.1_v1,ST3,W5
NC_023011.1_v1,ST5,W4
NZ_AP017570.1_v1,ST1,W1
NZ_AP017571.1_v1,ST1,W1
NZ_CP008875.1_v1,ST1,W1
NZ_CP010532.1_v1,ST5,W4
NZ_CP010533.1_v1,ST5,W4
NZ_CP011565.1_v1,ST1,W1
NZ_CP019068.1_v1,ST4,W5
NZ_CP019156.1_v1,ST5,W4
NZ_CP019286.1_v1,ST1,W1
NZ_CP024045.1_v1,ST1,W1
NZ_CP026312.1_v1,ST1,W1
NZ_CP026313.1_v1,ST1,W1
NZ_CP031308.1_v1,ST1,W1
NZ_CP031314.1_v1,ST1,W3
NZ_CP034344.1_v1,ST1,W1
NZ_CP034344.1_v2,ST1,W3
NZ_CP035121.1_v1,ST1,W1
NZ_CP039134.1_v1,ST1,W3
NZ_CP039135.1_v1,ST5,W4
NZ_CP040331.1_v1,ST2,W2
NZ_CP040331.1_v2,ST2,W2
NZ_CP045489.1_v1,ST2,W2
NZ_CP053943.1_v1,ST1,W1
NZ_CP054586.1_v1,ST1,W1
NZ_CP054586.1_v2,ST1,W3
NZ_CP054589.1_v1,ST1,W1
NZ_CP054589.1_v2,ST1,W1
NZ_CP054709.1_v1,ST1,W1
NZ_CP054709.1_v2,ST1,W1
NZ_CP058531.1_v1,ST1,W5
NZ_CP063206.1_v1,ST1,W1
NZ_CP063206.1_v2,ST1,W1
NZ_CP063208.1_v1,ST1,W5
NZ_CP064790.1_v1,ST1,W1
NZ_CP069189.1_v1,ST2,W2
NZ_CP069193.1_v1,ST1,W1
NZ_CP070334.1_v1,ST1,W1
NZ_CP070335.2_v1,ST1,W1
NZ_CP070375.1_v1,ST1,W1
NZ_CP073372.1_v1,ST5,W4
NZ_CP077714.1_v1,ST3,W5
NZ_CP077716.1_v1,ST3,W5
NZ_CP082248.1_v1,ST2,W2
NZ_CP082287.1_v1,ST1,W1
NZ_CP082289.1_v1,ST1,W3
NZ_CP083668.1_v1,ST1,W5
NZ_CP083669.1_v1,ST1,W1
NZ_CP084468.1_v1,ST1,W1
NZ_CP084470.1_v1,ST1,W1
NZ_CP084471.1_v1,ST1,W1
NZ_CP084473.1_v1,ST2,W2
NZ_CP084474.1_v1,ST4,W5
NZ_CP084474.1_v2,ST2,W2
NZ_CP084475.1_v1,ST2,W2
NZ_CP084882.1_v1,ST4,W5
NZ_CP084885.1_v1,ST4,W5
NZ_CP085325.1_v1,ST1,W1
NZ_CP087722.1_v2,ST1,W5
NZ_CP089469.1_v1,ST1,W5
NZ_CP089469.1_v2,ST1,W1
NZ_CP089595.1_v1,ST1,W1
NZ_CP090373.1_v1,ST1,W1
NZ_CP095006.1_v1,ST1,W5
NZ_CP095008.1_v1,ST1,W5
NZ_CP095009.1_v1,ST1,W5
NZ_CP095009.1_v2,ST1,W5
NZ_CP095399.1_v1,ST1,W1
NZ_CP095484.1_v1,ST1,W1
NZ_CP095485.1_v1,ST1,W1
NZ_CP098517.1_v1,ST1,W1
NZ_CP098519.1_v1,ST1,W1
NZ_CP100410.1_v1,ST1,W1
NZ_CP100446.1_v1,ST2,W2
NZ_CP100450.1_v1,ST4,W5
NZ_CP100451.1_v1,ST1,W5
NZ_CP101324.1_v1,ST1,W1
NZ_CP101826.1_v1,ST1,W1
NZ_CP101874.1_v1,ST2,W2
NZ_CP104744.1_v1,ST1,W1
NZ_CP104744.1_v2,ST1,W1
NZ_CP106967.1_v1,ST1,W1
NZ_CP106970.1_v1,ST1,W1
NZ_CP111038.1_v1,ST4,W5
NZ_CP111039.1_v1,ST1,W5
NZ_CP111040.1_v1,ST4,W5
NZ_CP119783.1_v1,ST1,W5
NZ_CP119784.1_v1,ST4,W5
NZ_CP119792.1_v1,ST1,W5
NZ_CP119798.1_v1,ST2,W2
NZ_CP119799.1_v1,ST1,W1
NZ_CP119806.1_v1,ST1,W1
NZ_CP119813.1_v1,ST1,W1
NZ_CP120471.1_v1,ST4,W5
NZ_CP126160.1_v1,ST1,W1
NZ_CP126160.1_v2,ST1,W1
NZ_CP127175.1_v1,ST1,W1
NZ_CP128378.1_v1,ST1,W1
NZ_CP135524.1_v1,ST2,W2
NZ_CP135525.1_v1,ST2,W2
NZ_CP135526.1_v1,ST2,W2
NZ_LN831304.1_v1,ST1,W1
NZ_MN918441.1_v1,ST1,W1
NZ_MN918442.1_v1,ST1,W5
