hit_id	replicon_name	position_hit	hit_sequence_length	gene_name	i_eval	score	profile_coverage	sequence_coverage	begin	end
CP002989.1_00039	CP002989.1	39	1274	T4SS_t4cp2	4.400e-06	21.500	0.622	0.108	712	849
CP002989.1_00257	CP002989.1	257	1009	T4SS_t4cp2	4.100e-15	51.100	0.671	0.146	301	447
CP002989.1_00315	CP002989.1	315	1297	T4SS_t4cp2	2.300e-09	32.300	0.577	0.108	708	847
CP002989.1_00539	CP002989.1	539	1457	T4SS_t4cp2	7.900e-11	37.000	0.617	0.095	720	857
CP002989.1_00540	CP002989.1	540	736	T4SS_t4cp2	1.200e-04	16.900	0.568	0.162	498	616
CP002989.1_00038	CP002989.1	38	741	T4SS_virb4	5.600e-73	242.000	0.607	0.845	87	712
CP002989.1_00255	CP002989.1	255	1085	T4SS_virb4	8.100e-66	218.300	0.612	0.589	386	1024
CP002989.1_00540	CP002989.1	540	736	T4SS_virb4	4.100e-68	225.900	0.558	0.804	101	692
CP007061.1_00168	CP007061.1	168	1449	T4SS_t4cp2	3.100e-11	37.300	0.617	0.095	729	866
CP007061.1_00282	CP007061.1	282	735	T4SS_t4cp2	4.100e-05	17.300	0.509	0.148	507	615
CP007061.1_00283	CP007061.1	283	1272	T4SS_t4cp2	1.900e-06	21.700	0.613	0.107	716	851
CP007061.1_00169	CP007061.1	169	735	T4SS_virb4	1.500e-69	229.600	0.560	0.808	98	691
CP007061.1_00282	CP007061.1	282	735	T4SS_virb4	1.100e-69	230.100	0.597	0.837	98	712
CP031298.1_00086	CP031298.1	86	1021	T4SS_t4cp2	2.000e-16	52.700	0.667	0.143	305	450
CP031298.1_00084	CP031298.1	84	1107	T4SS_virb4	9.700e-69	225.400	0.622	0.585	398	1045
CP040680.1_00164	CP040680.1	164	1114	T4SS_t4cp2	4.500e-07	23.700	0.586	0.115	840	967
CP040680.1_00166	CP040680.1	166	1034	T4SS_t4cp2	1.100e-15	51.900	0.689	0.146	317	467
CP040680.1_00164	CP040680.1	164	1114	T4SS_virb4	6.300e-65	214.300	0.600	0.562	414	1039
CP046867.1_00167	CP046867.1	167	1034	T4SS_t4cp2	1.200e-15	51.900	0.689	0.146	317	467
CP046867.1_00169	CP046867.1	169	1114	T4SS_t4cp2	4.700e-07	23.700	0.586	0.115	840	967
CP046867.1_00169	CP046867.1	169	1114	T4SS_virb4	6.600e-65	214.300	0.600	0.562	414	1039
CP050016.1_00212	CP050016.1	212	852	T4SS_t4cp1	2.500e-04	16.500	0.855	0.093	210	288
CP050016.1_00212	CP050016.1	212	852	T4SS_t4cp2	7.000e-26	85.500	0.847	0.217	360	544
CP050016.1_00208	CP050016.1	208	1126	T4SS_virb4	3.400e-60	198.900	0.530	0.502	401	965
CP050017.1_00122	CP050017.1	122	715	T4SS_t4cp1	3.800e-05	18.600	0.982	0.134	193	288
CP050017.1_00122	CP050017.1	122	715	T4SS_t4cp2	2.900e-26	86.200	0.883	0.266	355	544
CP050017.1_00118	CP050017.1	118	1126	T4SS_virb4	2.800e-58	192.100	0.577	0.577	398	1047
CP050019.1_00047	CP050019.1	47	574	T4SS_t4cp1	1.500e-14	47.000	0.991	0.174	197	296
CP050019.1_00047	CP050019.1	47	574	T4SS_t4cp2	8.700e-27	86.000	0.941	0.343	352	548
CP104004.1_00024	CP104004.1	24	773	T4SS_virb4	3.000e-57	188.300	0.581	0.810	73	698
CP119561.1_00167	CP119561.1	167	844	T4SS_t4cp2	8.900e-26	85.100	0.932	0.238	344	544
CP119561.1_00163	CP119561.1	163	1111	T4SS_virb4	4.400e-59	195.200	0.597	0.560	379	1000
CP119562.1_00074	CP119562.1	74	852	T4SS_t4cp2	4.800e-26	84.500	0.932	0.236	344	544
