replicon,min_orf_distance,min_nt_gap
CP002989.1,0,0
CP007061.1,0,0
CP031298.1,2,0
CP040680.1,0,0
CP046867.1,0,0
CP050016.1,4,0
CP050017.1,4,0
CP119561.1,4,0
CP119562.1,4,0
CP119781.1,1,0
CP119793.1,1,0
CP119808.1,0,0
CP126163.1,4,0
NC_002608.1,1,0
NC_004852.1,19,0
NC_006393.1,0,0
NC_006394.1,0,0
NC_006422.1,11,0
NC_006423.1,10,0
NC_006424.1,8,0
NC_006425.1,13,0
NC_010597.1,0,0
NC_010598.1,10,0
NC_012624.1,21,0
NC_013746.1,1,177
NC_013968.1,1,0
NC_014299.1,2,0
NC_014300.1,1,0
NC_015667.1,1,17
NC_019963.1,0,0
NC_021914.1,8,0
NC_023011.1,0,0
NZ_AP017570.1,1,0
NZ_AP017571.1,1,44
NZ_CP008875.1,1,9
NZ_CP010532.1,0,0
NZ_CP010533.1,0,0
NZ_CP011565.1,1,5
NZ_CP019068.1,1,0
NZ_CP019156.1,0,0
NZ_CP019286.1,1,7
NZ_CP024045.1,1,66
NZ_CP026312.1,0,0
NZ_CP026313.1,0,0
NZ_CP031308.1,1,0
NZ_CP031314.1,0,0
NZ_CP034344.1,0,0
NZ_CP035121.1,0,0
NZ_CP039134.1,0,0
NZ_CP039135.1,0,0
NZ_CP040331.1,0,0
NZ_CP045489.1,2,0
NZ_CP053943.1,1,0
NZ_CP054586.1,0,0
NZ_CP054589.1,1,0
NZ_CP054708.1,13,0
NZ_CP054709.1,0,0
NZ_CP058531.1,1,138
NZ_CP063206.1,0,0
NZ_CP063208.1,1,0
NZ_CP064790.1,0,0
NZ_CP069189.1,0,0
NZ_CP069193.1,1,0
NZ_CP070334.1,1,4
NZ_CP070335.2,1,0
NZ_CP070375.1,1,0
NZ_CP073372.1,0,0
NZ_CP077714.1,0,0
NZ_CP077716.1,0,0
NZ_CP082248.1,0,0
NZ_CP082287.1,1,0
NZ_CP082289.1,0,0
NZ_CP083668.1,0,0
NZ_CP083669.1,0,0
NZ_CP084465.1,4,0
NZ_CP084467.1,5,0
NZ_CP084468.1,1,4
NZ_CP084470.1,1,7
NZ_CP084471.1,1,14
NZ_CP084473.1,0,0
NZ_CP084474.1,0,0
NZ_CP084475.1,2,0
NZ_CP084882.1,1,166
NZ_CP084885.1,1,155
NZ_CP085325.1,1,20
NZ_CP085883.1,1,0
NZ_CP087722.1,80,14
NZ_CP089469.1,1,0
NZ_CP089470.1,0,0
NZ_CP089595.1,1,41
NZ_CP090373.1,1,42
NZ_CP095006.1,124,0
NZ_CP095008.1,0,0
NZ_CP095009.1,0,0
NZ_CP095399.1,1,31
NZ_CP095484.1,1,32
NZ_CP095485.1,1,0
NZ_CP098517.1,1,1
NZ_CP098519.1,1,0
NZ_CP100410.1,0,0
NZ_CP100446.1,0,0
NZ_CP100450.1,1,0
NZ_CP100451.1,0,0
NZ_CP100458.1,1,108
NZ_CP101155.1,3,556
NZ_CP101324.1,1,44
NZ_CP101826.1,0,0
NZ_CP101874.1,2,0
NZ_CP104744.1,0,0
NZ_CP106967.1,0,0
NZ_CP106970.1,0,0
NZ_CP111038.1,1,0
NZ_CP111039.1,3,0
NZ_CP111040.1,1,0
NZ_CP119783.1,0,0
NZ_CP119784.1,1,0
NZ_CP119792.1,0,0
NZ_CP119798.1,0,0
NZ_CP119799.1,0,0
NZ_CP119806.1,0,0
NZ_CP119813.1,0,0
NZ_CP120471.1,1,0
NZ_CP126160.1,1,0
NZ_CP127175.1,1,68
NZ_CP127176.1,1,0
NZ_CP128378.1,1,0
NZ_CP135524.1,0,0
NZ_CP135525.1,0,0
NZ_CP135526.1,0,0
NZ_LN831303.1,0,0
NZ_LN831304.1,1,0
NZ_MN918441.1,1,42
NZ_MN918442.1,0,0
NZ_QJOW01000005.1,0,0
NZ_QJOW01000006.1,1,42
