qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	query_coverage	source_plasmid	target_category	source_phylum	source_family	target_phylum	target_family	target_plasmid
CP007061_1_1__spacer15	NC_054953	97.222	36	1	0	1	36	46565	46530	2.11e-09	63.9	36	55145	100.0	CP007061_1_1	virus	p__Halobacteriota	f__Halobacteriaceae			NC_054953
CP007061_1_1__spacer47	OP374082	100.0	35	0	0	1	35	8647	8613	3.23e-11	69.9	35	46173	100.0	CP007061_1_1	virus	p__Halobacteriota	f__Halobacteriaceae			OP374082
CP007061_1_1__spacer47	CP031304.1	100.0	35	0	0	1	35	739573	739539	3.23e-11	69.9	35	987326	100.0	CP007061_1_1	plasmid	p__Halobacteriota	f__Halobacteriaceae	p__Halobacteriota	f__Natrialbaceae	CP031304.1
CP031304_1_1__spacer0	CP031299.1	100.0	35	0	0	1	35	51005	50971	3.23e-11	69.9	35	86496	100.0	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031299.1
CP031304_1_1__spacer1	CP031301.1	100.0	36	0	0	1	36	41785	41820	8.65e-12	71.9	36	49411	100.0	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031301.1
CP031304_1_1__spacer2	CP031301.1	100.0	35	0	0	1	35	41269	41235	3.23e-11	69.9	35	49411	100.0	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031301.1
CP031304_1_1__spacer6	CP031299.1	100.0	36	0	0	1	36	21766	21731	8.65e-12	71.9	36	86496	100.0	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031299.1
CP031304_1_1__spacer7	CP031299.1	100.0	34	0	0	1	34	19680	19647	1.43e-10	67.9	37	86496	91.8918918918919	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031299.1
CP031304_1_1__spacer10	CP031301.1	100.0	32	0	0	1	32	1107	1138	1.99e-09	63.9	35	49411	91.42857142857144	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031301.1
CP031304_1_1__spacer19	CP031301.1	100.0	35	0	0	1	35	21368	21402	3.23e-11	69.9	35	49411	100.0	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031301.1
CP031304_1_1__spacer25	CP031299.1	96.97	33	1	0	2	34	7063	7095	1.16e-07	58.0	34	86496	97.05882352941175	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031299.1
CP031304_1_1__spacer28	CP031299.1	97.059	34	1	0	2	35	2716	2749	3.11e-08	60.0	35	86496	97.14285714285714	CP031304_1_1	plasmid	p__Halobacteriota	f__Natrialbaceae	p__Halobacteriota	f__Natrialbaceae	CP031299.1
