replicon,protein,category,description,phylum,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,phylum_clean,family_clean,new_category
AP027740.1,AP027740.1_14,integrase,Phage integrase family,p__Methanobacteriota,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium petrolearium,Methanobacteriota,Methanobacteriaceae,Integrase
CP002989.1,CP002989.1_25,integrase,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_129,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_149,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_185,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_187,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_193,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_195,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_203,integrase,integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
CP002989.1,CP002989.1_568,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,Halobacteriota,Haloferacaceae,Integrase
