hit_id	replicon_name	position_hit	hit_sequence_length	gene_name	i_eval	score	profile_coverage	sequence_coverage	begin	end	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
CP002989.1_00039	CP002989.1	39	1274	T4SS_t4cp2	4.400e-06	21.500	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00257	CP002989.1	257	1009	T4SS_t4cp2	4.100e-15	51.100	0.671	0.146	301	447	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00315	CP002989.1	315	1297	T4SS_t4cp2	2.300e-09	32.300	0.577	0.108	708	847	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00539	CP002989.1	539	1457	T4SS_t4cp2	7.900e-11	37.000	0.617	0.095	720	857	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00540	CP002989.1	540	736	T4SS_t4cp2	1.200e-04	16.900	0.568	0.162	498	616	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00038	CP002989.1	38	741	T4SS_virb4	5.600e-73	242.000	0.607	0.845	87	712	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00255	CP002989.1	255	1085	T4SS_virb4	8.100e-66	218.300	0.612	0.589	386	1024	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002989.1_00540	CP002989.1	540	736	T4SS_virb4	4.100e-68	225.900	0.558	0.804	101	692	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP007061.1_00168	CP007061.1	168	1449	T4SS_t4cp2	3.100e-11	37.300	0.617	0.095	729	866	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP007061.1_00282	CP007061.1	282	735	T4SS_t4cp2	4.100e-05	17.300	0.509	0.148	507	615	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP007061.1_00283	CP007061.1	283	1272	T4SS_t4cp2	1.900e-06	21.700	0.613	0.107	716	851	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP007061.1_00169	CP007061.1	169	735	T4SS_virb4	1.500e-69	229.600	0.560	0.808	98	691	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP007061.1_00282	CP007061.1	282	735	T4SS_virb4	1.100e-69	230.100	0.597	0.837	98	712	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP031298.1_00086	CP031298.1	86	1021	T4SS_t4cp2	2.000e-16	52.700	0.667	0.143	305	450	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031298.1_00084	CP031298.1	84	1107	T4SS_virb4	9.700e-69	225.400	0.622	0.585	398	1045	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP040680.1_00164	CP040680.1	164	1114	T4SS_t4cp2	4.500e-07	23.700	0.586	0.115	840	967	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
