subtype	cluster_id	cluster_rep	prevalence	enriched_on_conjugative	odds_ratio	pval_fdr	frac_conj	frac_nonconj	n_conj_present	n_nonconj_present	known_conj_genes	prokka_product	eggnog_description	seq_len
ST1	cluster_02625	NC_006394.1_00103	88.9%	True	274.16923076923075	2.1282837440711457e-34	0.5220588235294118	0.003968253968253968	71	1		hypothetical protein	COG3451 Type IV secretory pathway, VirB4 components	337
ST1	cluster_17569	NZ_CP100410.1_00042	85.2%	True	80.59420289855072	2.84335774840002e-29	0.49264705882352944	0.011904761904761904	67	3		hypothetical protein	-	567
ST1	cluster_11002	NZ_CP063206.1_00143	74.1%	True	44.734177215189874	3.173950131916077e-22	0.41911764705882354	0.015873015873015872	57	4		hypothetical protein	-	140
ST1	cluster_20866	NZ_CP119799.1_00136	74.1%	True	175.7	4.421802254541572e-25	0.4117647058823529	0.003968253968253968	56	1		hypothetical protein	-	366
ST1	cluster_21842	NZ_CP127176.1_00079	71.6%	True	165.29268292682926	5.6834278145229526e-24	0.39705882352941174	0.003968253968253968	54	1				
ST1	cluster_20551	NZ_CP119790.1_00251	54.3%	True	12.623188405797102	6.407409569819163e-18	0.49264705882352944	0.07142857142857142	67	18		hypothetical protein	-	159
ST1	cluster_00078	CP002989.1_00250	54.3%	True	40.829268292682926	1.361632868162123e-20	0.39705882352941174	0.015873015873015872	54	4		hypothetical protein		89
ST1	cluster_10532	NZ_CP054709.1_00264	51.9%	True	20.29032258064516	3.94799579974939e-24	0.5441176470588235	0.05555555555555555	74	14				
ST2	cluster_22277	NZ_LN831303.1_00160	100.0%	True	43.275862068965516	2.399417215116124e-06	0.14705882352941177	0.003968253968253968	20	1		hypothetical protein	-	387
ST2	cluster_02442	NC_002608.1_00089	95.0%	True	21.551724137931036	1.6852597490532325e-05	0.14705882352941177	0.007936507936507936	20	2		hypothetical protein	-	234
ST2	cluster_02227	CP126163.1_00077	95.0%	True	20.299145299145298	4.3457628636910906e-05	0.13970588235294118	0.007936507936507936	19	2		hypothetical protein	-	328
ST2	cluster_20817	NZ_CP119798.1_00082	90.0%	True	32.407407407407405	3.98874060414199e-09	0.20588235294117646	0.007936507936507936	28	2		hypothetical protein	-	150
ST2	cluster_05341	NC_019967.1_00228	90.0%	True	17.857142857142858	0.0002975959324544505	0.125	0.007936507936507936	17	2		hypothetical protein	-	585
ST2	cluster_06572	NZ_CP011565.1_00064	80.0%	True	3.6989247311827955	0.00039319057288184756	0.3161764705882353	0.1111111111111111	43	28		hypothetical protein	Phage plasmid primase, P4	208
ST2	cluster_22628	NZ_MN918443.1_00058	65.0%	False										
ST2	cluster_00078	CP002989.1_00250	55.0%	True	40.829268292682926	1.361632868162123e-20	0.39705882352941174	0.015873015873015872	54	4		hypothetical protein		89
ST3	cluster_02671	NC_006424.1_00021	100.0%	True	22.088	0.015510375355067099	0.08088235294117647	0.003968253968253968	11	1				
ST3	cluster_11862	NZ_CP077714.1_00026	72.7%	True	inf	0.042109280301113695	0.058823529411764705	0.0	8	0				
ST3	cluster_03547	NC_013770.1_00016	72.7%	False										
ST3	cluster_11873	NZ_CP077714.1_00055	63.6%	False										
ST3	cluster_05760	NC_021914.1_00010	63.6%	False								hypothetical protein	-	182
ST3	cluster_02498	NC_004852.1_00015	54.5%	False										
ST4	cluster_11031	NZ_CP063206.1_00293	100.0%	True	38.38095238095238	1.736741562972465e-19	0.38235294117647056	0.015873015873015872	52	4		hypothetical protein	COG1467 Eukaryotic-type DNA primase, catalytic (small) subunit	313
ST4	cluster_07784	NZ_CP031149.1_00060	100.0%	False								hypothetical protein		129
