sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
AB190359.1	1	15723	0.4665140240412135	509d5a3fd693576c542e75fa33133b07	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	s__Thermoplasma acidophilum
AP027740.1	1	16526	0.36560571221106136	95f850047c7d77c29a1db7e7a6a94517	-	-	-	-	-	-	-	-	non-mobilizable	CP017265	0.12214	Lactobacillus paracasei	AC182	AL271	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium petrolearium
CP002989.1	1	705810	0.5614981368923648	e50864c8e642a14fa05c89b2f7e3b923	rep_cluster_1020	000271__NC_015955_00447	-	-	MPF_T	NC_002608_00127,NC_015955_00255,NC_015955_00540,NC_002608_00126	-	-	non-mobilizable	CP014516	0.295981	Frondihabitans sp. PAMC 28766	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002990.1	1	23659	0.6146075489242995	eaf099ad83e39b8d4260c252473c3fd4	-	-	-	-	-	-	-	-	non-mobilizable	CP031193	0.295981	Humibacter sp. BT305	AG233	AQ255	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP003317.1	1	16887	0.5057736720554272	6016f10dd3199560aedde088827429a8	-	-	-	-	-	-	-	-	non-mobilizable	CP042549	0.295981	Klebsiella michiganensis	AB111	AJ686	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum oguniense
CP007061.1	1	315592	0.5693458642804634	b854e0942168dc4d82d72b23ce0e0aca	-	-	-	-	MPF_T	NC_002608_00127,NC_015955_00540	-	-	non-mobilizable	CP003250	0.295981	Thermus oshimai JL-2	AD842	AN504	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP031298.1	1	89886	0.5474823665531896	8c7716e37078a37f6cf851748519c387	-	-	-	-	MPF_T	NC_019963_00206	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031299.1	1	86496	0.622884295227525	86c954ba03539f342246b445debd83d2	-	-	-	-	-	-	-	-	non-mobilizable	CP044118	0.295981	Roseomonas mucosa	AF405	AP350	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031300.1	1	29796	0.5580279232111692	4b46bd4e870ccfa923222730e0a4e616	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031301.1	1	49411	0.6174738418570763	072547ffe3fdd8e4b628cbdb4225a1bc	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
