plasmid,short_label,n_conserved_clusters,hdbscan_cluster,replicon_name,gtdb_phylum,gtdb_family
CP002989.1_v1,CP002989.1,25,1,CP002989.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP090373.1_v1,NZ_CP090373.1,20,1,NZ_CP090373.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP089595.1_v1,NZ_CP089595.1,26,1,NZ_CP089595.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP089469.1_v2,NZ_CP089469.1,22,1,NZ_CP089469.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP089469.1_v1,NZ_CP089469.1,19,1,NZ_CP089469.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP087722.1_v2,NZ_CP087722.1,11,1,NZ_CP087722.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP085325.1_v1,NZ_CP085325.1,32,1,NZ_CP085325.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP084471.1_v1,NZ_CP084471.1,17,1,NZ_CP084471.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP084470.1_v1,NZ_CP084470.1,18,1,NZ_CP084470.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP084468.1_v1,NZ_CP084468.1,18,1,NZ_CP084468.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP083669.1_v1,NZ_CP083669.1,21,1,NZ_CP083669.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP083668.1_v1,NZ_CP083668.1,17,1,NZ_CP083668.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP095006.1_v1,NZ_CP095006.1,6,1,NZ_CP095006.1,p__Halobacteriota,f__Halococcaceae
NZ_CP082289.1_v1,NZ_CP082289.1,30,1,NZ_CP082289.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP070375.1_v1,NZ_CP070375.1,17,1,NZ_CP070375.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP070335.2_v1,NZ_CP070335.2,25,1,NZ_CP070335.2,p__Halobacteriota,f__Halobacteriaceae
NZ_MN918442.1_v1,NZ_MN918442.1,10,1,NZ_MN918442.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP069193.1_v1,NZ_CP069193.1,27,1,NZ_CP069193.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP064790.1_v1,NZ_CP064790.1,19,1,NZ_CP064790.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP063208.1_v1,NZ_CP063208.1,2,1,NZ_CP063208.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP063206.1_v2,NZ_CP063206.1,23,1,NZ_CP063206.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP063206.1_v1,NZ_CP063206.1,16,1,NZ_CP063206.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP058531.1_v1,NZ_CP058531.1,10,1,NZ_CP058531.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP054709.1_v2,NZ_CP054709.1,22,1,NZ_CP054709.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP054709.1_v1,NZ_CP054709.1,20,1,NZ_CP054709.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP082287.1_v1,NZ_CP082287.1,24,1,NZ_CP082287.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP095008.1_v1,NZ_CP095008.1,24,1,NZ_CP095008.1,p__Halobacteriota,f__Halococcaceae
NZ_CP095009.1_v1,NZ_CP095009.1,7,1,NZ_CP095009.1,p__Halobacteriota,f__Halococcaceae
NZ_CP095009.1_v2,NZ_CP095009.1,21,1,NZ_CP095009.1,p__Halobacteriota,f__Halococcaceae
NZ_MN918441.1_v1,NZ_MN918441.1,28,1,NZ_MN918441.1,p__Halobacteriota,f__Haloferacaceae
NZ_LN831304.1_v1,NZ_LN831304.1,28,1,NZ_LN831304.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP128378.1_v1,NZ_CP128378.1,28,1,NZ_CP128378.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP127175.1_v1,NZ_CP127175.1,23,1,NZ_CP127175.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP126160.1_v2,NZ_CP126160.1,26,1,NZ_CP126160.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP126160.1_v1,NZ_CP126160.1,25,1,NZ_CP126160.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP119813.1_v1,NZ_CP119813.1,23,1,NZ_CP119813.1,p__Halobacteriota,f__Haladaptataceae
NZ_CP119806.1_v1,NZ_CP119806.1,18,1,NZ_CP119806.1,p__Halobacteriota,f__Haladaptataceae
NZ_CP119799.1_v1,NZ_CP119799.1,17,1,NZ_CP119799.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP119792.1_v1,NZ_CP119792.1,42,1,NZ_CP119792.1,p__Halobacteriota,f__
NZ_CP119783.1_v1,NZ_CP119783.1,39,1,NZ_CP119783.1,p__Halobacteriota,f__
NZ_CP111039.1_v1,NZ_CP111039.1,6,1,NZ_CP111039.1,p__Halobacteriota,f__Haladaptataceae
NZ_CP106970.1_v1,NZ_CP106970.1,28,1,NZ_CP106970.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP106967.1_v1,NZ_CP106967.1,19,1,NZ_CP106967.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP104744.1_v2,NZ_CP104744.1,14,1,NZ_CP104744.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP104744.1_v1,NZ_CP104744.1,24,1,NZ_CP104744.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP101826.1_v1,NZ_CP101826.1,22,1,NZ_CP101826.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP101324.1_v1,NZ_CP101324.1,30,1,NZ_CP101324.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP100451.1_v1,NZ_CP100451.1,15,1,NZ_CP100451.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP100410.1_v1,NZ_CP100410.1,16,1,NZ_CP100410.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP098519.1_v1,NZ_CP098519.1,28,1,NZ_CP098519.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP098517.1_v1,NZ_CP098517.1,30,1,NZ_CP098517.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP095485.1_v1,NZ_CP095485.1,26,1,NZ_CP095485.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP095484.1_v1,NZ_CP095484.1,29,1,NZ_CP095484.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP095399.1_v1,NZ_CP095399.1,22,1,NZ_CP095399.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP054589.1_v2,NZ_CP054589.1,29,1,NZ_CP054589.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP054589.1_v1,NZ_CP054589.1,23,1,NZ_CP054589.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP070334.1_v1,NZ_CP070334.1,16,1,NZ_CP070334.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP054586.1_v1,NZ_CP054586.1,28,1,NZ_CP054586.1,p__Halobacteriota,f__Haloferacaceae
NC_014299.1_v1_v1,NC_014299.1,7,1,NC_014299.1,p__Halobacteriota,f__Halalkalicoccaceae
NC_006394.1_v1,NC_006394.1,31,1,NC_006394.1,p__Halobacteriota,f__Haloarculaceae
NZ_AP017570.1_v1,NZ_AP017570.1,28,1,NZ_AP017570.1,p__Halobacteriota,f__Haloferacaceae
NZ_AP017571.1_v1,NZ_AP017571.1,29,1,NZ_AP017571.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP008875.1_v1,NZ_CP008875.1,31,1,NZ_CP008875.1,p__Halobacteriota,f__Halobacteriaceae
CP119808.1_v1,CP119808.1,17,1,CP119808.1,p__Halobacteriota,f__Haladaptataceae
CP119781.1_v1,CP119781.1,24,1,CP119781.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP011565.1_v1,NZ_CP011565.1,31,1,NZ_CP011565.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP019286.1_v1,NZ_CP019286.1,26,1,NZ_CP019286.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP054586.1_v2,NZ_CP054586.1,29,1,NZ_CP054586.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP026312.1_v1,NZ_CP026312.1,16,1,NZ_CP026312.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP026313.1_v1,NZ_CP026313.1,15,1,NZ_CP026313.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP024045.1_v1,NZ_CP024045.1,16,1,NZ_CP024045.1,p__Halobacteriota,f__Natrialbaceae
NC_015667.1_v1,NC_015667.1,21,1,NC_015667.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP053943.1_v1,NZ_CP053943.1,29,1,NZ_CP053943.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP031308.1_v1,NZ_CP031308.1,18,1,NZ_CP031308.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP031314.1_v1,NZ_CP031314.1,26,1,NZ_CP031314.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP034344.1_v1,NZ_CP034344.1,30,1,NZ_CP034344.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP034344.1_v2,NZ_CP034344.1,28,1,NZ_CP034344.1,p__Halobacteriota,f__Haloferacaceae
CP002989.1_v4,CP002989.1,24,1,CP002989.1,p__Halobacteriota,f__Haloferacaceae
CP007061.1_v1,CP007061.1,28,1,CP007061.1,p__Halobacteriota,f__Halobacteriaceae
NZ_CP035121.1_v1,NZ_CP035121.1,9,1,NZ_CP035121.1,p__Halobacteriota,f__Haladaptataceae
NZ_CP039134.1_v1,NZ_CP039134.1,31,1,NZ_CP039134.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP100446.1_v1,NZ_CP100446.1,15,2,NZ_CP100446.1,p__Halobacteriota,f__Natrialbaceae
CP002989.1_v2,CP002989.1,20,2,CP002989.1,p__Halobacteriota,f__Haloferacaceae
NZ_CP135526.1_v1,NZ_CP135526.1,22,2,NZ_CP135526.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP135525.1_v1,NZ_CP135525.1,18,2,NZ_CP135525.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP101874.1_v1,NZ_CP101874.1,30,2,NZ_CP101874.1,p__Halobacteriota,f__Natrialbaceae
NC_006393.1_v1,NC_006393.1,30,5,NC_006393.1,p__Halobacteriota,f__Haloarculaceae
CP031298.1_v1,CP031298.1,29,2,CP031298.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP119798.1_v1,NZ_CP119798.1,18,2,NZ_CP119798.1,p__Halobacteriota,f__Natrialbaceae
CP119561.1_v1,CP119561.1,17,5,CP119561.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP135524.1_v1,NZ_CP135524.1,18,2,NZ_CP135524.1,p__Halobacteriota,f__Natrialbaceae
CP050017.1_v1,CP050017.1,18,5,CP050017.1,p__Halobacteriota,f__Haloarculaceae
CP050016.1_v1,CP050016.1,22,5,CP050016.1,p__Halobacteriota,f__Haloarculaceae
CP046867.1_v1,CP046867.1,30,2,CP046867.1,p__Halobacteriota,f__Haloarculaceae
CP040680.1_v1,CP040680.1,31,2,CP040680.1,p__Halobacteriota,f__QS-9-68-17
CP126163.1_v1,CP126163.1,20,5,CP126163.1,p__Halobacteriota,f__Haloarculaceae
CP119562.1_v1,CP119562.1,25,5,CP119562.1,p__Halobacteriota,f__Haloarculaceae
NC_019963.1_v1_v1,NC_019963.1,26,2,NC_019963.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP084475.1_v1,NZ_CP084475.1,18,2,NZ_CP084475.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP045489.1_v1,NZ_CP045489.1,23,2,NZ_CP045489.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP040331.1_v2,NZ_CP040331.1,16,2,NZ_CP040331.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP040331.1_v1,NZ_CP040331.1,19,2,NZ_CP040331.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP039135.1_v1,NZ_CP039135.1,34,5,NZ_CP039135.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP069189.1_v1,NZ_CP069189.1,14,2,NZ_CP069189.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP073372.1_v1,NZ_CP073372.1,26,5,NZ_CP073372.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP082248.1_v1,NZ_CP082248.1,20,2,NZ_CP082248.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP019156.1_v1,NZ_CP019156.1,21,5,NZ_CP019156.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP084473.1_v1,NZ_CP084473.1,17,2,NZ_CP084473.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP084474.1_v2,NZ_CP084474.1,21,2,NZ_CP084474.1,p__Halobacteriota,f__Natrialbaceae
NC_019963.1_v2,NC_019963.1,20,2,NC_019963.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP010533.1_v1,NZ_CP010533.1,22,5,NZ_CP010533.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP010532.1_v1,NZ_CP010532.1,27,5,NZ_CP010532.1,p__Halobacteriota,f__Haloarculaceae
NC_023011.1_v1,NC_023011.1,25,5,NC_023011.1,p__Halobacteriota,f__Haloarculaceae
NC_006422.1_v1,NC_006422.1,20,3,NC_006422.1,p__Thermoproteota,f__Sulfolobaceae
NC_010598.1_v1,NC_010598.1,23,3,NC_010598.1,p__Thermoproteota,f__Sulfolobaceae
NC_010597.1_v1,NC_010597.1,26,3,NC_010597.1,p__Thermoproteota,f__Sulfolobaceae
NC_006425.1_v1,NC_006425.1,25,3,NC_006425.1,p__Thermoproteota,f__Sulfolobaceae
NC_006424.1_v1,NC_006424.1,24,3,NC_006424.1,p__Thermoproteota,f__Sulfolobaceae
NC_021914.1_v1,NC_021914.1,20,3,NC_021914.1,p__Thermoproteota,f__Sulfolobaceae
NZ_CP077714.1_v1,NZ_CP077714.1,22,3,NZ_CP077714.1,p__Thermoproteota,f__Sulfolobaceae
NZ_CP077716.1_v1,NZ_CP077716.1,27,3,NZ_CP077716.1,p__Thermoproteota,f__Sulfolobaceae
NC_006423.1_v1,NC_006423.1,26,3,NC_006423.1,p__Thermoproteota,f__Sulfolobaceae
NC_012624.1_v1,NC_012624.1,25,3,NC_012624.1,p__Thermoproteota,f__Sulfolobaceae
NC_004852.1_v1,NC_004852.1,21,3,NC_004852.1,p__Thermoproteota,f__Sulfolobaceae
NZ_CP019068.1_v1,NZ_CP019068.1,12,4,NZ_CP019068.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP084474.1_v1,NZ_CP084474.1,18,4,NZ_CP084474.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP100450.1_v1,NZ_CP100450.1,17,4,NZ_CP100450.1,p__Halobacteriota,f__Haloarculaceae
NZ_CP119784.1_v1,NZ_CP119784.1,31,4,NZ_CP119784.1,p__Halobacteriota,f__
NZ_CP111040.1_v1,NZ_CP111040.1,15,4,NZ_CP111040.1,p__Halobacteriota,f__Haladaptataceae
CP119793.1_v1,CP119793.1,28,4,CP119793.1,p__Halobacteriota,f__
NZ_CP111038.1_v1,NZ_CP111038.1,14,4,NZ_CP111038.1,p__Halobacteriota,f__Haladaptataceae
NZ_CP084882.1_v1,NZ_CP084882.1,18,4,NZ_CP084882.1,p__Halobacteriota,f__Natrialbaceae
NZ_CP120471.1_v1,NZ_CP120471.1,30,4,NZ_CP120471.1,p__Halobacteriota,f__
NZ_CP084885.1_v1,NZ_CP084885.1,11,4,NZ_CP084885.1,p__Halobacteriota,f__Natrialbaceae
