sample_id,size,size_kb,gc,predicted_mobility,total_defense_count,defense_richness,shannon_diversity,has_defense,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,cat_BREX,cat_CBASS,cat_CRISPR-Cas,cat_DISARM,cat_Druantia,cat_Other,cat_Phage Defense,cat_Restriction-Modification,cat_pAgo
AB190359.1,15723,15.723,0.466514024,non-mobilizable,0,0,0.0,0,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Thermoplasma,s__Thermoplasma acidophilum,0,0,0,0,0,0,0,0,0
AP027740.1,16526,16.526,0.365605712,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium petrolearium,0,0,0,0,0,0,0,0,0
CP002989.1,705810,705.81,0.561498137,non-mobilizable,9,6,1.5810937501718236,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,1,0,0,1,0,2,0,4,1
CP002990.1,23659,23.659,0.614607549,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halolamina,s__Halolamina sp000224475,0,0,0,0,0,0,0,0,0
CP003317.1,16887,16.887,0.505773672,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum oguniense,0,0,0,0,0,0,0,0,0
CP007061.1,315592,315.592,0.569345864,non-mobilizable,4,4,1.3862943611198906,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium sp000230955,0,0,1,0,0,2,0,1,0
CP031298.1,89886,89.886,0.547482367,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
CP031299.1,86496,86.496,0.622884295,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
CP031300.1,29796,29.796,0.558027923,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
CP031301.1,49411,49.411,0.617473842,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
CP031302.1,17189,17.189,0.639885974,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,0,0,0,0,0,0,0,0,0
CP031304.1,987326,987.326,0.638262337,non-mobilizable,6,4,1.2424533248940002,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema thermotolerans,1,0,1,0,0,1,0,3,0
CP040679.1,322915,322.915,0.607636685,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,0,0,0,0,0,0,0,0,0
CP040680.1,316071,316.071,0.582252089,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,0,0,1,0,0,0,0,0,0
CP040681.1,100265,100.265,0.615987633,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__QS-9-68-17,g__Halostella,s__Halostella pelagica,0,0,0,0,0,0,0,0,0
CP046867.1,316107,316.107,0.582233231,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,0,0,1,0,0,0,0,0,0
CP046868.1,100260,100.26,0.61593856,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Salinibaculum,s__Salinibaculum litoreum,0,0,0,0,0,0,0,0,0
CP050015.1,535368,535.368,0.619954872,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,0,0,0,0,0,1,0,0,0
CP050016.1,355823,355.823,0.578442091,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,0,0,0,0,0,1,0,1,0
CP050017.1,255392,255.392,0.56905463,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,0,0,0,0,0,0,0,1,1
CP050018.1,133715,133.715,0.597517107,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,0,0,1,0,0,0,0,0,0
CP050019.1,53962,53.962,0.564971647,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula pellucida,0,0,0,0,0,0,0,1,0
CP104004.1,249332,249.332,0.597255868,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0022],0,0,0,0,0,0,0,0,1
CP119561.1,363408,363.408,0.588338727,non-mobilizable,6,2,0.6365141682948128,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002],2,0,0,0,0,0,0,4,0
CP119562.1,114495,114.495,0.568636185,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0002],0,0,0,0,0,0,0,0,0
CP119780.1,284460,284.46,0.653578711,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],0,0,0,0,0,1,0,0,0
CP119781.1,200553,200.553,0.593608672,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halomicroarcula,s__Halomicroarcula [species 0007],0,0,0,0,0,1,0,0,0
CP119793.1,330897,330.897,0.550561051,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001],1,0,0,0,0,1,0,2,0
CP119803.1,163478,163.478,0.592061317,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halosegnis,s__Halosegnis [species 0023],0,0,1,0,0,1,0,2,0
CP119805.1,430223,430.223,0.650657915,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0012],0,0,0,0,0,0,0,1,0
CP119807.1,102607,102.607,0.591577573,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0012],0,0,1,0,0,1,0,0,0
CP119808.1,131528,131.528,0.556193358,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0012],0,0,0,0,0,3,0,0,0
CP120469.1,429105,429.105,0.623695832,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobaculum,s__Halobaculum [species 0020],0,0,0,0,0,1,0,0,0
CP126163.1,258123,258.123,0.559973346,non-mobilizable,2,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__,s__[Genus] [species 0003],0,0,0,0,0,2,0,0,0
CP135527.1,76233,76.233,0.600684743,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405,0,0,0,0,0,0,0,0,0
KF527230.1,18345,18.345,0.513109839,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus nautili,0,0,0,0,0,0,0,0,0
NC_000905.1,6205,6.205,0.452538276,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter thermautotrophicus,0,0,0,0,0,0,0,0,0
