sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
AB190359.1	1	15723	0.466514024	509d5a3fd693576c542e75fa33133b07	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	s__Thermoplasma acidophilum
AP027740.1	1	16526	0.365605712	95f850047c7d77c29a1db7e7a6a94517	-	-	-	-	-	-	-	-	non-mobilizable	AC182	AL271	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium petrolearium
CP002989.1	1	705810	0.561498137	e50864c8e642a14fa05c89b2f7e3b923	rep_cluster_1020	000271__NC_015955_00447	-	-	MPF_T	"NC_002608_00127,NC_015955_00255,NC_015955_00540,NC_002608_00126"	-	-	non-mobilizable	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP002990.1	1	23659	0.614607549	eaf099ad83e39b8d4260c252473c3fd4	-	-	-	-	-	-	-	-	non-mobilizable	AG233	AQ255	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp000224475
CP003317.1	1	16887	0.505773672	6016f10dd3199560aedde088827429a8	-	-	-	-	-	-	-	-	non-mobilizable	AB111	AJ686	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum oguniense
CP007061.1	1	315592	0.569345864	b854e0942168dc4d82d72b23ce0e0aca	-	-	-	-	MPF_T	"NC_002608_00127,NC_015955_00540"	-	-	non-mobilizable	AD842	AN504	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium sp000230955
CP031298.1	1	89886	0.547482367	8c7716e37078a37f6cf851748519c387	-	-	-	-	MPF_T	NC_019963_00206	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031299.1	1	86496	0.622884295	86c954ba03539f342246b445debd83d2	-	-	-	-	-	-	-	-	non-mobilizable	AF405	AP350	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031300.1	1	29796	0.558027923	4b46bd4e870ccfa923222730e0a4e616	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031301.1	1	49411	0.617473842	072547ffe3fdd8e4b628cbdb4225a1bc	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031302.1	1	17189	0.639885974	c945fe3c1a421dd8fd6ab5912e28a8e0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP031304.1	1	987326	0.638262337	fbaec80023ddc1e7c0c2b39e668d9240	-	-	-	-	-	-	-	-	non-mobilizable	AD931	AN625	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
CP040679.1	1	322915	0.607636685	8a3ca0a1fd7f7073420932d361794348	-	-	-	-	-	-	-	-	non-mobilizable	AB903	AK876	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP040680.1	1	316071	0.582252089	145c701eeec27a710440f993e68a0e0d	-	-	-	-	MPF_T	NC_015955_00255	-	-	non-mobilizable	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP040681.1	1	100265	0.615987633	3d36f1864fb21393bffe51b4ab5e0adb	-	-	-	-	-	-	-	-	non-mobilizable	AB681	AK558	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella pelagica
CP046867.1	1	316107	0.582233231	d7a7ba738c60f5be90229d82f6fd9381	-	-	-	-	MPF_T	NC_015955_00255	-	-	non-mobilizable	AF545	AP507	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP046868.1	1	100260	0.61593856	c92660608d5e5998fa6a1ae594910c03	-	-	-	-	-	-	-	-	non-mobilizable	AB681	AK558	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Salinibaculum	s__Salinibaculum litoreum
CP050015.1	1	535368	0.619954872	6d0b4f57ac300170faa5584a5d159217	-	-	-	-	-	-	-	-	non-mobilizable	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050016.1	1	355823	0.578442091	55fba65dbd189a0c07af5d766c16926e	-	-	-	-	-	-	-	-	non-mobilizable	AC364	AL532	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050017.1	1	255392	0.56905463	ff00e79615b83046ea443e0ec74087a9	-	-	-	-	-	-	-	-	non-mobilizable	AD515	AN095	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050018.1	1	133715	0.597517107	fe50c0be1f67f45bc7d76ac19c86a0ff	-	-	-	-	-	-	-	-	non-mobilizable	AC616	AL880	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP050019.1	1	53962	0.564971647	aae5229e810df517365ac00e8cf024d3	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula pellucida
CP104004.1	1	249332	0.597255868	4f03140ea544df469a1da23dabc3ab90	-	-	-	-	-	-	-	-	non-mobilizable	AD575	AN175	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0022]
CP119561.1	1	363408	0.588338727	d5bb0c9ac20616fd106795d4f79ba152	-	-	-	-	-	-	-	-	non-mobilizable	AA340	AI287	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119562.1	1	114495	0.568636185	aab7af4419c48bab85cc9fbb896c9b16	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0002]
CP119780.1	1	284460	0.653578711	0331cfa2b41d3c116a0eb38a0e68d9da	-	-	-	-	-	-	-	-	non-mobilizable	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119781.1	1	200553	0.593608672	3c37aa1e8be7108f83270ce5f119deb3	-	-	-	-	MPF_T	"NC_002608_00127,NC_002608_00126"	-	-	non-mobilizable	AC364	AL532	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicroarcula	s__Halomicroarcula [species 0007]
CP119793.1	1	330897	0.550561051	2db7638f10c3f67b46b7e2d1e0d8add2	-	-	-	-	MPF_T	NC_013746_00233	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__	g__	s__[Genus] [species 0001]
CP119803.1	1	163478	0.592061317	f73fc90b27ea7577226e3c6cca087a88	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosegnis	s__Halosegnis [species 0023]
CP119805.1	1	430223	0.650657915	9c0861cc2d553858c393b52cc5dbc9dd	-	-	-	-	-	-	-	-	non-mobilizable	AG119	AQ138	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119807.1	1	102607	0.591577573	50d842d6db198e0b95ed61449cd68289	-	-	-	-	-	-	-	-	non-mobilizable	AD770	AN425	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP119808.1	1	131528	0.556193358	1b076622cf78cb87116ad18bddd8e1b8	-	-	-	-	MPF_T	"NC_015955_00540,NC_015667_00008"	-	-	non-mobilizable	AH064	AR120	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus [species 0012]
CP120469.1	1	429105	0.623695832	e7b95d787678d7fb489da9e236cc6a83	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum [species 0020]
CP126163.1	1	258123	0.559973346	3d763a9901df3e6e5d0b48e7643a78f6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__	s__[Genus] [species 0003]
CP135527.1	1	76233	0.600684743	ba8f2f2bdeb3dfa0fe5827c9f50f6637	-	-	-	-	-	-	-	-	non-mobilizable	AC943	AM323	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__KZCA124	s__KZCA124 sp017357405
KF527230.1	1	18345	0.513109839	24292df828e04a0d397be53650cc8650	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
NC_000905.1	1	6205	0.452538276	d4f313e5db64f2e389313e98da66d08a	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001336.1	1	13514	0.417714962	6a538275e52b43e750f62ca8ff33560d	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001337.1	1	11014	0.425095333	c62e5d57c3785b34a804212544435103	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
NC_001375.1	1	6354	0.560434372	4a0e67625d7caee5c2c1c7c3c095bdc6	-	-	-	-	-	-	-	-	non-mobilizable	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_001732.1	1	58407	0.281910795	d50931f0257ec99ae44df464ed052306	"rep_cluster_1119,rep_cluster_88"	"000396__NC_001732_00058,002359__NC_001732_00046"	-	-	-	-	-	-	non-mobilizable	AD615	AN227	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001733.1	1	16550	0.288882175	3db305a4bd1b322d1cb1ccc3a14ca596	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
NC_001771.1	1	5350	0.37271028	0031d603e9dd3e282173c07140f0347c	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
