source_plasmid,exclusivity
CP007061_1_1,both
CP031304_1_1,plasmid_only
CP040680_1_1,plasmid_only
CP040680_1_2,plasmid_only
CP046867_1_1,plasmid_only
CP046867_1_2,plasmid_only
CP050018_1_1,plasmid_only
NC_006392_1_2,virus_only
NC_006392_1_3,both
NC_012030_1_1,both
NC_012030_1_5,virus_only
NC_013966_1_2,both
NC_017944_1_2,plasmid_only
NC_017944_1_3,plasmid_only
NZ_CP007554_1_1,plasmid_only
NZ_CP007554_1_2,plasmid_only
NZ_CP054709_1_2,plasmid_only
NZ_CP073368_1_6,both
NZ_CP109982_1_1,plasmid_only
NZ_CP109982_1_3,plasmid_only
NZ_CP110252_1_1,plasmid_only
NZ_CP135524_1_2,plasmid_only
NZ_CP135524_1_3,plasmid_only
