subtype,cluster_id,cluster_rep,prevalence,enriched_on_conjugative,odds_ratio,pval_fdr,frac_conj,frac_nonconj,n_conj_present,n_nonconj_present,known_conj_genes,prokka_product,eggnog_description,seq_len
ST1,cluster_02625,NC_006394.1_00103,88.9%,True,274.16923076923075,2.1282837440711452e-34,0.5220588235294118,0.0039682539682539,71.0,1.0,,hypothetical protein,"COG3451 Type IV secretory pathway, VirB4 components",337.0
ST1,cluster_17569,NZ_CP100410.1_00042,85.2%,True,80.59420289855072,2.84335774840002e-29,0.4926470588235294,0.0119047619047619,67.0,3.0,,hypothetical protein,-,567.0
ST1,cluster_11002,NZ_CP063206.1_00143,74.1%,True,44.734177215189874,3.1739501319160774e-22,0.4191176470588235,0.0158730158730158,57.0,4.0,,hypothetical protein,-,140.0
ST1,cluster_20866,NZ_CP119799.1_00136,74.1%,True,175.7,4.421802254541572e-25,0.4117647058823529,0.0039682539682539,56.0,1.0,,hypothetical protein,-,366.0
ST1,cluster_21842,NZ_CP127176.1_00079,71.6%,True,165.29268292682926,5.6834278145229526e-24,0.3970588235294117,0.0039682539682539,54.0,1.0,,,,
ST1,cluster_20551,NZ_CP119790.1_00251,54.3%,True,12.623188405797102,6.407409569819163e-18,0.4926470588235294,0.0714285714285714,67.0,18.0,,hypothetical protein,-,159.0
ST1,cluster_00078,CP002989.1_00250,54.3%,True,40.829268292682926,1.361632868162123e-20,0.3970588235294117,0.0158730158730158,54.0,4.0,,hypothetical protein,,89.0
ST1,cluster_10532,NZ_CP054709.1_00264,51.9%,True,20.29032258064516,3.94799579974939e-24,0.5441176470588235,0.0555555555555555,74.0,14.0,,,,
ST2,cluster_22277,NZ_LN831303.1_00160,100.0%,True,43.27586206896552,2.399417215116124e-06,0.1470588235294117,0.0039682539682539,20.0,1.0,,hypothetical protein,-,387.0
ST2,cluster_02442,NC_002608.1_00089,95.0%,True,21.55172413793104,1.6852597490532325e-05,0.1470588235294117,0.0079365079365079,20.0,2.0,,hypothetical protein,-,234.0
ST2,cluster_02227,CP126163.1_00077,95.0%,True,20.299145299145295,4.3457628636910906e-05,0.1397058823529411,0.0079365079365079,19.0,2.0,,hypothetical protein,-,328.0
ST2,cluster_20817,NZ_CP119798.1_00082,90.0%,True,32.407407407407405,3.9887406041419905e-09,0.2058823529411764,0.0079365079365079,28.0,2.0,,hypothetical protein,-,150.0
ST2,cluster_05341,NC_019967.1_00228,90.0%,True,17.857142857142858,0.0002975959324544,0.125,0.0079365079365079,17.0,2.0,,hypothetical protein,-,585.0
ST2,cluster_06572,NZ_CP011565.1_00064,80.0%,True,3.698924731182796,0.0003931905728818,0.3161764705882353,0.1111111111111111,43.0,28.0,,hypothetical protein,"Phage plasmid primase, P4",208.0
ST2,cluster_22628,NZ_MN918443.1_00058,65.0%,False,,,,,,,,,,
ST2,cluster_00078,CP002989.1_00250,55.0%,True,40.829268292682926,1.361632868162123e-20,0.3970588235294117,0.0158730158730158,54.0,4.0,,hypothetical protein,,89.0
ST3,cluster_02671,NC_006424.1_00021,100.0%,True,22.088,0.015510375355067,0.0808823529411764,0.0039682539682539,11.0,1.0,,,,
ST3,cluster_11862,NZ_CP077714.1_00026,72.7%,True,inf,0.0421092803011136,0.0588235294117647,0.0,8.0,0.0,,,,
ST3,cluster_03547,NC_013770.1_00016,72.7%,False,,,,,,,,,,
ST3,cluster_11873,NZ_CP077714.1_00055,63.6%,False,,,,,,,,,,
ST3,cluster_05760,NC_021914.1_00010,63.6%,False,,,,,,,,hypothetical protein,-,182.0
ST3,cluster_02498,NC_004852.1_00015,54.5%,False,,,,,,,,,,
ST4,cluster_11031,NZ_CP063206.1_00293,100.0%,True,38.38095238095238,1.7367415629724652e-19,0.3823529411764705,0.0158730158730158,52.0,4.0,,hypothetical protein,"COG1467 Eukaryotic-type DNA primase, catalytic (small) subunit",313.0
ST4,cluster_07784,NZ_CP031149.1_00060,100.0%,False,,,,,,,,hypothetical protein,,129.0
ST4,cluster_01878,CP119793.1_00141,100.0%,True,24.29032258064516,0.0059722465539262,0.088235294117647,0.0039682539682539,12.0,1.0,,hypothetical protein,,352.0
ST4,cluster_13910,NZ_CP084474.1_00037,100.0%,True,20.348837209302324,5.958031953335924e-16,0.3676470588235294,0.0277777777777777,50.0,7.0,,hypothetical protein,"COG2219 Eukaryotic-type DNA primase, large subunit",508.0
ST4,cluster_12644,NZ_CP082248.1_00297,70.0%,False,,,,,,,,ATP-dependent zinc metalloprotease FtsH,,334.0
ST4,cluster_13912,NZ_CP084474.1_00046,60.0%,False,,,,,,,,,,
ST4,cluster_13911,NZ_CP084474.1_00045,60.0%,True,22.088,0.015510375355067,0.0808823529411764,0.0039682539682539,11.0,1.0,,,,
ST4,cluster_22628,NZ_MN918443.1_00058,60.0%,False,,,,,,,,,,
ST4,cluster_19597,NZ_CP111040.1_00141,60.0%,True,22.088,0.015510375355067,0.0808823529411764,0.0039682539682539,11.0,1.0,,hypothetical protein,,491.0
ST4,cluster_20592,NZ_CP119792.1_00046,50.0%,True,27.84,2.1282837440711452e-34,0.7058823529411765,0.0793650793650793,96.0,20.0,,,,
ST5,cluster_01274,CP050016.1_00203,92.3%,True,inf,0.0008546096770955,0.088235294117647,0.0,12.0,0.0,,hypothetical protein,-,690.0
ST5,cluster_01277,CP050016.1_00210,92.3%,True,inf,0.0008546096770955,0.088235294117647,0.0,12.0,0.0,,hypothetical protein,-,154.0
ST5,cluster_01276,CP050016.1_00209,92.3%,True,inf,0.0008546096770955,0.088235294117647,0.0,12.0,0.0,,hypothetical protein,-,127.0
ST5,cluster_06501,NZ_CP010533.1_00079,92.3%,True,inf,0.0008546096770955,0.088235294117647,0.0,12.0,0.0,,hypothetical protein,-,558.0
ST5,cluster_13544,NZ_CP084467.1_00322,92.3%,True,8.266666666666667,0.0083715872212669,0.1176470588235294,0.0158730158730158,16.0,4.0,,hypothetical protein,"COG3843 Type IV secretory pathway, VirD2 components (relaxase)",171.0
