accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_000246985.2	44	99.5	0.5	299	p__Euryarchaeota (UID4)	202	0	2014456	90.93903318	1	954455	43.08802922	2215172	RS_GCF_024054535.1	f	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A alcaliphilus	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_A	s__Thermococcus_A alcaliphilus	type strain of species	LPSN	f	1	1	2215172	2215172	2215172	1	3020	NC_022084.1	2215172	2	103	NC_022084.1	3020	5561	0	99.901	AKID01000054.18410.21433	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. PK	2215172	2215172	t	f	f	2215172	2215172	Complete Genome	ASM24698v3	na	PRJNA224116	SAMN02603679	none	none	none	13.08.13	GCA_000246985.3	none	full	none	none	none	1	0	Thermococcus litoralis DSM 5473	2402	representative genome	4	1	1	2215172	2215172	2215172	13.08.13	0	2265	1	DSM 5473	"New England Biolabs, Inc."	523849	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus litoralis	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus litoralis;x__Thermococcus litoralis DSM 5473	0	2215172	11	46	assembly from type material	2215172	0	none	2497	1	2215172	1	none	none	none	none	none	none	1485	NC_022084.1	1485	2743	0	100	CP006670.774259.775759	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus litoralis DSM 5473	0	19	45	0
RS_GCF_000980135.1	4	100	0.65	228	p__Euryarchaeota (UID49)	153	0	3081035	75.5606223	193	1694808	41.57088541	4077567	RS_GCF_000970205.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei	not type material	none	f	32	28	130619	130619	72964	1	2891	NZ_JJQZ01000122.1	72964	1	117	NZ_JJQZ01000122.1	2891	5334	0	99.965	CP009514.2145810.2148703	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei C16	21123	25645	t	f	f	37490	46703	Scaffold	gtlEnvA5udCFS	na	PRJNA224116	SAMN02708973	193	37490	USA: Columbia River Estuary; north of Astoria; OR	23.04.15	GCA_000980135.1	none	full	none	sediment	46.17467 N 123.8493 W	0	0	Methanosarcina mazei	3462	na	3	159	28	46703	23322	15334	23.04.15	34	2209	1	1.H.T.2.1	University of Illinois at Urbana-Champaign	2209	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	652	4077567	11	56	none	4076915	0	JJQZ00000000.1	3513	159	72964	1	1473	2710	0	99.864	439	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	1475	NZ_JJQZ01000122.1	1474	2723	0	100	AE008384.2400692.2402165	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei Go1	652	19	56	0
RS_GCF_000337075.1	61	99.38	0.19	417	f__Halobacteriaceae (UID96)	263	0	2629910	86.58048705	64	2099820	69.13053655	3037532	RS_GCF_000337075.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum hochstenium	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum hochstenium	not type material	none	f	12	12	180409	180409	1116	9	1114	NZ_AOJO01000029.1	15773	1	116	NZ_AOJO01000028.1	1114	2019	0	99.372	AOJD01000044.1.2796	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum tebenquichense DSM 14210	47461	47461	f	f	t	87029	87029	Contig	ASM33707v1	na	PRJNA224116	SAMN02471650	64	87029	none	04.02.13	GCA_000337075.1	none	full	none	none	none	0	0	Halorubrum hochstenium ATCC 700873	2950	representative genome	12	none	none	none	none	none	04.02.13	0	1227480	2	ATCC 700873	"University of California, Davis"	1227481	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum hochstenium	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum hochstenium;x__Halorubrum hochstenium ATCC 700873	0	3037532	11	47	none	3037532	0	AOJO00000000.1	3008	64	38194	1	932	1666	0	98.927	4320043	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum;s__	1739	NZ_AOJO01000055.1	1637	3016	0	100	AOJO01000055.1063.2699	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;Halorubrum hochstenium ATCC 700873	0	19	47	0
RS_GCF_000979515.1	1	100	1.31	228	p__Euryarchaeota (UID49)	153	50	3083899	75.6579501	215	1696947	41.63285885	4076107	RS_GCF_000970205.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei	not type material	none	f	38	37	123524	123524	42213	1	2891	NZ_JJPD01000038.1	42213	1	117	NZ_JJPD01000038.1	2891	5339	0	100	CP009514.2145810.2148703	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei C16	18958	19502	t	f	f	35291	35291	Scaffold	gtlEnvA5udCFS	na	PRJNA224116	SAMN02708975	215	35291	USA: Columbia River Estuary; north of Astoria; OR	23.04.15	GCA_000979515.1	none	full	none	sediment	46.1597 N 123.8065 W	0	0	Methanosarcina mazei	3471	na	3	209	37	35291	19137	10098	23.04.15	6	2209	1	3.F.A.2.12	University of Illinois at Urbana-Champaign	2209	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	126	4076107	11	58	none	4075981	0	JJPD00000000.1	3557	209	42213	1	1473	2699	0	99.728	439	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	1475	NZ_JJPD01000038.1	1470	2715	0	100	CP009514.3051791.3053260	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei C16	126	19	58	0
RS_GCF_000762265.1	0	100	0	188	p__Euryarchaeota (UID3)	125	0	2045404	83.48632054	1	1012813	41.33952548	2449987	RS_GCF_001316325.1	f	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium formicicum	not type material	none	f	1	1	2449987	2449987	2449987	2	2982	NZ_CP006933.1-#2	2449987	3	119	NZ_CP006933.1-#2	2982	5507	0	100	CP006933.285239.288223	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium formicicum	2449987	2449987	t	f	f	2449987	2449987	Complete Genome	ASM76226v1	na	PRJNA224116	SAMN03085433	none	none	New Zealand	02.10.14	GCA_000762265.1	none	full	none	rumen contents	40.3350 S 175.6117 E	1	0	Methanobacterium formicicum	2367	na	7	1	1	2449987	2449987	2449987	02.10.14	0	2162	2	BRM9	PGgRc	2162	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	0	2449987	11	46	none	2449987	0	none	2403	1	2449987	2	none	none	none	none	none	none	1475	NZ_CP006933.1	1474	2723	0	100	CP006933.750440.751913	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium formicicum	0	19	46	0
RS_GCF_000217715.1	0	99.57	0.38	417	f__Halobacteriaceae (UID96)	263	0	3718805	85.38636428	4	2838921	65.18361212	4355268	RS_GCF_000217715.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Halopiger;s__Halopiger xanaduensis	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis	type strain of species	LPSN	t	1	1	3668009	3668009	3668009	3	2905	NC_015666.1	3668009	4	114	NC_015666.1	2900	5356	0	100	CP002839.2729301.2732207	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halopiger;Halopiger xanaduensis SH-6	1088817	1088817	t	f	f	3668009	3668009	Complete Genome	ASM21771v1	na	PRJNA224116	SAMN02232028	none	none	China	09.06.11	GCA_000217715.1	none	full	none	sediment of Lake Shangmatala	43.2 N 114.016 E	4	0	Halopiger xanaduensis SH-6	4178	representative genome	10	4	1	3668009	3668009	436718	09.06.11	0	387343	3	SH-6	US DOE Joint Genome Institute	797210	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halopiger;s__Halopiger xanaduensis	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halopiger;s__Halopiger xanaduensis;x__Halopiger xanaduensis SH-6	0	4355268	11	50	assembly from type material	4355268	0	none	4264	4	3668009	3	none	none	none	none	none	none	1470	NC_015666.1	1470	2715	0	100	CP002839.2727386.2728856	Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halopiger;Halopiger xanaduensis SH-6	0	19	49	0
RS_GCF_000220645.1	4	99.5	0	308	p__Euryarchaeota (UID5)	210	0	1559812	89.30066291	1	575374	32.94076292	1746697	RS_GCF_002945325.1	f	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis	not type material	none	f	1	1	1746697	1746697	1746697	2	2950	NC_015847.1	1746697	3	106	NC_015847.1	2950	5448	0	100	CP002913.32261.35217	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis X1	1746697	1746697	t	f	f	1746697	1746697	Complete Genome	ASM22064v1	na	PRJNA224116	SAMN02603718	none	none	none	14.07.11	GCA_000220645.1	none	full	none	none	none	1	0	Methanococcus maripaludis X1	1828	na	7	1	1	1746697	1746697	1746697	14.07.11	0	39152	2	X1	"Ecosystem Sciences, Commonwealth Scientific and Industrial Research Organisation"	1053692	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis;x__Methanococcus maripaludis X1	0	1746697	11	38	none	1746697	0	none	1869	1	1746697	2	none	none	none	none	none	none	1467	NC_015847.1	1467	2710	0	100	CP002913.3339.4820	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;Methanococcus maripaludis X1	0	19	38	1
RS_GCF_000979755.1	17	100	0.65	228	p__Euryarchaeota (UID49)	153	0	3111563	75.49583247	214	1707027	41.42740514	4121503	RS_GCF_000970205.1	f	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei	not type material	none	f	33	25	271441	305594	89229	1	2891	NZ_JJPT01000103.1	89229	1	117	NZ_JJPT01000103.1	2891	5334	0	99.965	CP009514.2145810.2148703	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei C16	19254	24679	t	f	f	36753	47520	Scaffold	gtlEnvA5udCFS	na	PRJNA224116	SAMN02708952	214	36753	USA: Columbia River Estuary; north of Astoria; OR	23.04.15	GCA_000979755.1	none	full	none	sediment	46.1597 N 123.8065 W	0	0	Methanosarcina mazei	3481	na	3	167	25	47520	24339	13823	23.04.15	47	2209	1	3.H.M.1A.1	University of Illinois at Urbana-Champaign	2209	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	960	4121503	11	57	none	4120543	0	JJPT00000000.1	3555	167	89229	1	1473	2699	0	99.728	439	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__mazei	1475	NZ_JJPT01000103.1	1470	2715	0	100	CP009514.3051791.3053260	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;Methanosarcina mazei C16	960	19	57	0
RS_GCF_000243455.1	4	99.52	0	308	p__Euryarchaeota (UID5)	210	0	1583417	87.05914889	121	590069	32.44313905	1818783	RS_GCF_000243455.1	t	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanotorris;s__Methanotorris formicicus	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanotorris	s__Methanotorris formicicus	type strain of species	LPSN	f	21	21	80920	80920	21402	1	2972	NZ_AGJL01000032.1	none	0	none	none	2972	5489	0	100	AGJL01000032.17678.20659	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;Methanotorris formicicus Mc-S-70	15031	15031	f	f	t	29347	29347	Contig	ASM24345v2	na	PRJNA224116	SAMN02261372	121	29347	Indian Ocean	23.01.12	GCA_000243455.2	none	full	none	Black smoker chimney at the Kairei field in the Central Indian Ridge; Indian Ocean	none	0	0	Methanotorris formicicus Mc-S-70	1984	representative genome	6	none	none	none	none	none	23.01.12	0	213185	2	Mc-S-70	JGI	647171	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris formicicus	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris formicicus;x__Methanotorris formicicus Mc-S-70	0	1818783	11	35	assembly from type material	1818783	0	AGJL00000000.1	2045	121	21402	1	1467	2710	0	100	3743397	k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__;g__;s__	1469	NZ_AGJL01000032.1	1469	2713	0	100	AGJL01000032.16057.17525	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;Methanotorris formicicus Mc-S-70	0	19	35	1
RS_GCF_000214415.1	0	99.52	0	308	p__Euryarchaeota (UID5)	210	0	1539095	83.00601285	1	598904	32.29991204	1854197	RS_GCF_000214415.1	t	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanotorris;s__Methanotorris igneus	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanotorris	s__Methanotorris igneus	type strain of species	LPSN	t	1	1	1854197	1854197	1854197	2	2980	NC_015562.1	1854197	2	93	NC_015562.1	2980	5504	0	100	CP002737.1091975.1094964	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;Methanotorris igneus Kol 5	1854197	1854197	t	f	f	1854197	1854197	Complete Genome	ASM21441v1	na	PRJNA224116	SAMN00713627	none	none	Iceland	23.05.11	GCA_000214415.1	none	full	none	shallow subarine vent system at the Kolbeinskey Ridge	66.780217 N 18.480835 W	1	0	Methanotorris igneus Kol 5	1802	representative genome	6	1	1	1854197	1854197	1854197	23.05.11	0	2189	2	Kol 5	US DOE Joint Genome Institute	880724	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris igneus	d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris igneus;x__Methanotorris igneus Kol 5	0	1854197	11	35	assembly from type material	1854197	0	none	1822	1	1854197	2	none	none	none	none	none	none	1470	NC_015562.1	1470	2715	0	100	CP002737.1090341.1091810	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;Methanotorris igneus Kol 5	0	19	35	1
