,CP002989.1_v1,CP002989.1_v2,CP002989.1_v3,CP002989.1_v4,CP007061.1_v1,CP007061.1_v2,CP031298.1_v1,CP040680.1_v1,CP046867.1_v1,CP050016.1_v1,CP050017.1_v1,CP119561.1_v1,CP119562.1_v1,CP119781.1_v1,CP119793.1_v1,CP119808.1_v1,CP126163.1_v1,NC_002608.1_v1,NC_004852.1_v1,NC_006393.1_v1,NC_006394.1_v1,NC_006422.1_v1,NC_006423.1_v1,NC_006424.1_v1,NC_006425.1_v1,NC_010597.1_v1,NC_010598.1_v1,NC_012624.1_v1,NC_014299.1_v1_v1,NC_014299.1_v2,NC_014299.1_v3_v1,NC_014300.1_v1,NC_015667.1_v1,NC_019963.1_v1_v1,NC_019963.1_v2,NC_021914.1_v1,NC_023011.1_v1,NZ_AP017570.1_v1,NZ_AP017571.1_v1,NZ_CP008875.1_v1,NZ_CP010532.1_v1,NZ_CP010533.1_v1,NZ_CP011565.1_v1,NZ_CP019068.1_v1,NZ_CP019156.1_v1,NZ_CP019286.1_v1,NZ_CP024045.1_v1,NZ_CP026312.1_v1,NZ_CP026313.1_v1,NZ_CP031308.1_v1,NZ_CP031314.1_v1,NZ_CP034344.1_v1,NZ_CP034344.1_v2,NZ_CP035121.1_v1,NZ_CP039134.1_v1,NZ_CP039135.1_v1,NZ_CP040331.1_v1,NZ_CP040331.1_v2,NZ_CP045489.1_v1,NZ_CP053943.1_v1,NZ_CP054586.1_v1,NZ_CP054586.1_v2,NZ_CP054589.1_v1,NZ_CP054589.1_v2,NZ_CP054708.1_v1,NZ_CP054709.1_v1,NZ_CP054709.1_v2,NZ_CP058531.1_v1,NZ_CP063206.1_v1,NZ_CP063206.1_v2,NZ_CP063208.1_v1,NZ_CP064790.1_v1,NZ_CP069189.1_v1,NZ_CP069193.1_v1,NZ_CP070334.1_v1,NZ_CP070335.2_v1,NZ_CP070375.1_v1,NZ_CP073372.1_v1,NZ_CP077714.1_v1,NZ_CP077716.1_v1,NZ_CP082248.1_v1,NZ_CP082287.1_v1,NZ_CP082289.1_v1,NZ_CP083668.1_v1,NZ_CP083669.1_v1,NZ_CP084465.1_v1,NZ_CP084467.1_v1,NZ_CP084468.1_v1,NZ_CP084470.1_v1,NZ_CP084471.1_v1,NZ_CP084473.1_v1,NZ_CP084474.1_v1,NZ_CP084474.1_v2,NZ_CP084475.1_v1,NZ_CP084882.1_v1,NZ_CP084885.1_v1,NZ_CP085325.1_v1,NZ_CP085883.1_v1,NZ_CP087722.1_v1,NZ_CP087722.1_v2,NZ_CP089469.1_v1,NZ_CP089469.1_v2,NZ_CP089470.1_v1,NZ_CP089595.1_v1,NZ_CP090373.1_v1,NZ_CP095006.1_v1,NZ_CP095006.1_v2,NZ_CP095008.1_v1,NZ_CP095009.1_v1,NZ_CP095009.1_v2,NZ_CP095399.1_v1,NZ_CP095484.1_v1,NZ_CP095485.1_v1,NZ_CP098517.1_v1,NZ_CP098519.1_v1,NZ_CP100410.1_v1,NZ_CP100446.1_v1,NZ_CP100450.1_v1,NZ_CP100451.1_v1,NZ_CP100458.1_v1,NZ_CP101155.1_v1,NZ_CP101324.1_v1,NZ_CP101826.1_v1,NZ_CP101874.1_v1,NZ_CP104744.1_v1,NZ_CP104744.1_v2,NZ_CP106967.1_v1,NZ_CP106970.1_v1,NZ_CP111038.1_v1,NZ_CP111039.1_v1,NZ_CP111040.1_v1,NZ_CP119783.1_v1,NZ_CP119784.1_v1,NZ_CP119792.1_v1,NZ_CP119798.1_v1,NZ_CP119799.1_v1,NZ_CP119806.1_v1,NZ_CP119813.1_v1,NZ_CP120471.1_v1,NZ_CP126160.1_v1,NZ_CP126160.1_v2,NZ_CP127175.1_v1,NZ_CP127176.1_v1,NZ_CP128378.1_v1,NZ_CP135524.1_v1,NZ_CP135525.1_v1,NZ_CP135526.1_v1,NZ_LN831303.1_v1,NZ_LN831304.1_v1,NZ_MN918441.1_v1,NZ_MN918442.1_v1,NZ_OX281346.1_v1,NZ_OX281346.1_v2,U95377.1_v1
CP002989.1_v1,0.0,0.9085439506422445,0.9754726902976549,0.7989830903949986,0.6873132126084014,0.7886550964188397,0.9366827781225407,0.8987740238990019,0.8987740238990019,0.9843859652152597,1.0,1.0,1.0,0.6235243181226904,0.928012139952624,0.8062255888714832,1.0,0.8093837173421599,1.0,0.987420271570189,0.8471421204151871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7419802729861804,0.9249442360514921,1.0,1.0,1.0,0.658414068896941,0.766989517302878,0.7848318584544156,1.0,0.9893525564375355,0.7852154663396003,0.9610824555082115,1.0,0.7136344440797182,0.8823164576957797,0.8012042795059754,0.7816244912634518,0.8670830396251907,0.8670328333868002,0.7860391721216033,0.8625450326316014,0.8485341868168533,0.8487171789069191,0.987420271570189,1.0,0.9646276478678937,0.9341192919163569,0.6570542054653512,0.745012329692124,0.8480176940718441,0.7764863222960052,0.6468137318090299,0.9841696382284307,0.8660516021870199,0.8695868994397291,0.991459016328074,0.8793565888615835,0.8152890680482091,1.0,0.7709485376579248,0.9851673383729319,0.6053751269305985,0.7869415107669784,0.7582842736771304,0.8080346074388721,1.0,1.0,1.0,1.0,0.62806967493618,0.8471421204151871,0.9842090365522358,0.773656469769736,1.0,1.0,0.7406187498151693,0.7375692365113755,0.7764990752168737,0.9925088468660176,0.9632801105086307,0.9759025100145046,0.9849831805359022,0.9635580330067289,0.9637403197225777,0.7691965676643256,0.810015303156347,0.9500841522927649,0.9400378400383557,1.0,0.6060862809706189,0.9620020421289989,0.7780269671677482,0.8113446184284847,0.9646675066772368,0.9793241106350286,0.9815571066864455,0.9791587035201087,0.9866508581730462,0.7427727547068248,0.7918732046478347,0.610001350776072,0.6535548759544878,0.611408044782064,0.8757952407681554,0.9904991155657447,0.9265633821706717,0.9922146951635635,0.9918137761976105,1.0,0.7443858990650711,0.7993040291077014,0.9366827781225407,0.7870414110902078,0.891758359904927,0.817371087211963,0.7614025929773864,0.9610942210395212,1.0,0.9618027606292522,0.9156540014290546,0.927388001687164,0.9156419318389818,0.9913063802562369,0.8918196313405286,0.8668792890696908,0.8685429487090088,0.9270726955113658,0.6134309336133013,0.5861979474078489,0.8554130356837533,0.8549263259941658,0.8000902059186423,0.9839283299691393,1.0,0.992070156620882,0.9760658433447738,0.5875006718602444,0.7321848545422608,0.9844624996491774,1.0,1.0,1.0
CP002989.1_v2,0.9085439506422445,0.0,0.9698252241455354,0.9162820065615472,0.9163415152915917,0.984694400861416,0.8552261037224218,0.7924323285137373,0.8026580911430349,0.9784423262898216,0.9799405873573821,0.9777283624316212,0.9776846847683563,0.8933760815272367,0.9339600021631874,0.9703109211475112,0.9773501994483625,0.9548722028607954,1.0,0.9775618311212457,0.9743723869232457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925581307682149,1.0,1.0,1.0,0.9578129108929725,0.8023162416169921,0.8701939677914502,1.0,0.9780024020947101,0.8403626566877279,0.9066483448323341,0.9914685935692401,0.9774026604006402,0.9784605578501826,0.9840378120472679,1.0,0.9774925475459273,0.9545431420244217,0.9678363401170819,0.9478991438026985,0.9602821280161378,1.0,0.9860569191443918,0.9395620548739299,0.972551088450387,1.0,0.9743723869232457,0.9775618311212457,0.8736272347082571,0.8495040664066211,0.8330214483864193,0.9140535243666176,0.9224671971830928,0.9769743271358046,0.9438902571549627,0.9567436826764633,0.9887651683311369,0.9662890420872915,0.9681233260728346,0.9803230863093886,0.9724574662403638,0.974973821165147,1.0,0.9776271055456838,0.8907202201436426,0.9472622056279255,0.9836453496330595,0.9752421931028927,0.992340656328797,0.9775618311212457,1.0,1.0,0.8778665192591598,0.8733939610816215,0.9743723869232457,0.9853250096214727,0.9792579988725985,1.0,1.0,0.9548292670893803,0.9584061600969712,0.9640264416845342,0.8642909169424556,1.0,0.8595968114476331,0.8542992724428654,0.9805539367572562,1.0,0.9065134554524884,0.9842754469707562,0.9820449220107267,1.0,1.0,0.9561504334724646,0.9889065303377116,0.9642654942418363,0.9450276552109018,1.0,1.0,1.0,1.0,1.0,0.9261418078585126,0.9162205729659814,0.9471347126479364,0.9547207718732934,0.957057863315953,0.9858109847610661,0.9249161894644224,0.9101488854965266,0.9855888089456876,0.9844998116227314,1.0,0.9218732075777175,0.9390290046310389,0.8552261037224218,0.9667869931348041,0.984552834545691,0.9407262090250702,0.9217242745663847,1.0,0.9914765003407237,1.0,0.9925838100961368,0.9321373680278673,0.9923886472039298,0.8679912201465001,0.9863322434048386,0.9668911969443779,0.9731949148348877,0.9363896059666305,0.9546397174762354,0.9546397174762354,0.9772989411498005,0.9876222192526479,0.992340656328797,0.8573456579966605,0.8648353072771783,0.8517955051089261,0.979836036108397,0.9357277945489805,0.9363433106077916,1.0,1.0,1.0,1.0
CP002989.1_v3,0.9754726902976549,0.9698252241455354,0.0,0.9581081305811292,0.9645951207961594,0.984641134250506,0.9744549067015632,0.9554663668051908,0.9554663668051908,0.973519510235408,1.0,1.0,1.0,0.9685114276153182,0.9654974966918414,0.9908195375505862,0.9924978061097405,0.90344241104121,1.0,0.9772479323324971,0.9872583751365102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9913843418097263,1.0,1.0,0.9749695704490133,0.9634704670143308,1.0,1.0,0.973063331212795,0.9736479378030191,0.9903889147520912,1.0,1.0,0.9903889147520912,1.0,1.0,0.9883561424113099,0.9777940878436489,0.9652812174340258,0.9770051923973841,0.9926084200796116,0.9871772182902459,0.9738118746324729,0.98782647306036,1.0,0.9872583751365102,0.9772479323324971,0.9656173672403806,0.9887750260087353,0.9891113991453873,0.9923849802602349,0.9739758114619267,0.98782647306036,0.9704484489250819,0.9925545356623058,0.9591407222841996,0.9728289990732409,0.9885773047864436,0.9909496274583395,0.9893107570516728,0.9730808569161425,1.0,0.9925846370575444,0.9894756603313598,0.9879256107647787,1.0,0.9925751602172578,0.9925751602172578,1.0,1.0,1.0,0.9606066836573987,0.9806455531777228,0.9880473302364167,0.9807859269683478,0.8940785206786609,1.0,1.0,0.9867276308604441,0.9782860903002303,0.978193537350269,0.9591862291148395,0.9893361479869847,0.9581105841856736,0.9603646160431848,0.9808387813315805,0.9890532504203418,0.9738938430471997,0.948008785629234,0.9921757422306132,1.0,1.0,0.9569752896571682,1.0,0.9598610710496691,0.9560043443563612,1.0,1.0,0.9814545210636187,0.9909121974976688,1.0,0.9548279798328017,0.9737299062177459,0.9864833541278143,0.9792286363240187,0.9925218794915116,0.9684708041699777,0.9888744773245929,0.9808454761404714,0.9800690383141663,0.9731804635298374,1.0,0.9737040431919375,0.9620610918581904,0.9744549067015632,0.977916255742049,0.9803303306708123,0.99204968007536,0.9802988631386796,0.9852456853491564,1.0,0.9881013591525455,0.9776575173177243,0.9648788636530715,0.9660035843270445,0.9812321790382151,0.9893872473564107,0.988458569934858,0.9885105583585749,0.9730812970795999,0.9794707805302161,0.9793893549526728,0.9771501858870569,0.9926013974497949,1.0,0.9889604241442269,0.9750692475431726,0.9500353021738382,0.9923804008845408,0.9925684238100292,0.9580938731486162,0.9804352761929203,1.0,1.0,1.0
CP002989.1_v4,0.7989830903949986,0.9162820065615472,0.9581081305811292,0.0,0.7588360571081632,0.8242171688744918,0.9191104768943537,0.8672803967037529,0.8672803967037529,0.9866616949814567,1.0,1.0,1.0,0.8035996532459451,0.9696152553866152,0.8431261041313205,1.0,0.8820406201074982,1.0,0.9834561131532862,0.9153551969650935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9920080795641264,1.0,1.0,1.0,0.8412503213235569,0.9207589738531708,0.9484902705085198,1.0,1.0,0.8207661379354922,0.6888009684336496,0.8409983167724571,1.0,0.9888695521055039,0.8414199466970439,0.9875481102468995,1.0,0.854758009473513,0.8687897918015621,0.754674881767347,0.8266411498782402,0.9119634393763947,0.8840038947165413,0.6923284277594828,0.8848571824842462,0.8726965188511162,0.912550110441855,0.9834561131532862,0.9382774917141408,0.9384598227484481,0.9352753691884996,0.8083278606784761,0.6731899210461123,0.9344812995640394,0.7822546456958873,0.8221019520499662,0.949787797442632,0.8334245197896579,0.8697693212488484,0.9618735616344913,0.8594556687514909,0.8636602368229024,1.0,0.861249926491957,0.9734587316700408,0.8109804318437897,0.8503585981817465,0.8509760406003999,0.8655468032964669,1.0,1.0,1.0,0.9698859067827807,0.8172210674461557,0.9044366478318344,0.9660968833542962,0.8379630096619942,1.0,0.9924093558066399,0.8150989007672513,0.8109879657999576,0.8253723664543601,0.9717883680340862,0.9879832712390648,0.9578264825085616,0.9639421942611672,0.9807592182269063,0.9881424332094083,0.6916351930590368,0.9042078352925372,0.9906994254181151,0.9282647683029918,1.0,0.7824323490357551,0.984101599159666,0.6983374480071489,0.7840528138440958,1.0,0.9905365490635502,1.0,0.985122732727066,1.0,0.8220608530936931,0.6876284558458018,0.7808716320434352,0.8022598824466168,0.8096885421971751,0.8489538725480894,0.9737584088058273,0.9692602194097103,0.9672772673561185,0.9213101003509044,0.9907785533432227,0.6727245389501042,0.8527576282069191,0.9191104768943537,0.8331003553531006,0.8728003926251096,0.8618960260567596,0.7951166793743587,0.9858542802678645,0.9905888116424659,0.9885640840743909,0.9719500665812325,0.9698687659476262,0.9612044573074757,0.9678516718315665,0.8949429939378847,0.8487286702064102,0.8403647392395018,0.969346889686979,0.7987754088516187,0.8001178262677444,0.8378398967622003,0.9014764748827814,0.8710758973571926,0.9595830441042116,0.9573827494251285,0.9666306171775563,0.9844225204240977,0.8149009154586094,0.774789365843497,0.9802232982940807,1.0,1.0,1.0
CP007061.1_v1,0.6873132126084014,0.9163415152915917,0.9645951207961594,0.7588360571081632,0.0,0.8470301333566542,0.9054806458318116,0.9105929508357904,0.9105929508357904,0.9843859652152597,0.9713738511608041,1.0,1.0,0.704908323617764,0.9626291005709561,0.8400011784585335,1.0,0.845049667787544,1.0,0.987420271570189,0.8719073464450499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7899324889795944,0.8904460670455572,0.9645676903792889,1.0,1.0,0.7659729730092175,0.70490089593365,0.8536683866066648,1.0,0.9812590969312144,0.8539382410943064,1.0,1.0,0.8139248074358811,0.8191699755549999,0.7264484441555923,0.8323512229760467,0.9112503777573157,0.8638668825396336,0.7596370567256314,0.8673219213226491,0.8752640195203342,0.8734405504491711,0.987420271570189,0.9766584659791298,0.9327654425435498,0.9119321335240402,0.6967273265169074,0.704597686262763,0.8770329252099451,0.7952007084809337,0.7670852597095279,0.9732692798501713,0.8199648115557452,0.8187901263862281,0.9315850865416754,0.8456821810819992,0.8575257747627008,1.0,0.8186403266118216,0.9429282017269873,0.708586902982788,0.8137108716924183,0.8349743461413248,0.8562830251047606,1.0,1.0,1.0,0.9357314701261155,0.7139470787550131,0.864341031239489,0.9575028959683314,0.8031552059440115,1.0,1.0,0.7960148190969419,0.7868367505437198,0.7949059073406781,0.9728357275934874,0.9895757559532082,0.9319825719354726,0.9374637452839988,1.0,0.9893084676443162,0.6984463604232121,0.8749890134795912,0.9907033840270075,0.9404637934602631,0.9775988649258911,0.6748758511179175,0.9515336509858181,0.7314263361155455,0.8127561927876672,1.0,0.9905387777019028,0.981996223193911,1.0,0.9870021513790187,0.7603349837246599,0.7321252790776871,0.719550935418094,0.7775932549049697,0.7286329601293295,0.8433129253368171,0.9528722208680782,0.9631877627331842,0.9769809044730696,0.9582198672972203,0.9660078478835552,0.6909327764396146,0.842122679516928,0.9054806458318116,0.8271450794911178,0.8706007176527945,0.8527228312485269,0.8059593107146913,0.9850575961576057,0.9815954865461838,0.9543438814900126,0.9616856359530325,0.9624482878914115,0.9619553116457065,0.9787467610386656,0.8749241545723934,0.8155072029891229,0.8091418765586151,0.9630769692287423,0.7384280097736664,0.7290446760476377,0.8139926081540302,0.887766676502359,0.8621514688484313,0.9681473902258189,0.9647952310605568,0.9680871754947572,0.974284357400448,0.6979493651548481,0.7250724127853039,0.9800501028608133,1.0,1.0,1.0
CP007061.1_v2,0.7886550964188397,0.984694400861416,0.984641134250506,0.8242171688744918,0.8470301333566542,0.0,0.961497200100551,0.9368059093887487,0.9368059093887487,1.0,1.0,1.0,0.9909695814283913,0.7877738690040871,0.9435305660340211,0.7787196498961316,0.9911085109448776,0.9201271403633497,1.0,0.9924589058451243,0.9330705526761709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8111102345747772,0.9508169991396962,0.9820489171748069,1.0,0.991477147786918,0.8104452681693856,0.8078930023366631,0.8263379039952611,1.0,1.0,0.8268635876610865,0.9616601890816076,0.9779127026184975,0.8262884205581205,0.8304032619305557,0.8306297595134796,0.8052140289545912,0.8594217217970905,0.9435262765635342,0.7943078940360717,0.936137440250696,0.8405494860842289,0.9346608355303366,0.9924589058451243,0.9821308855895338,0.9924722884434471,0.9807263457263754,0.7953132982999599,0.7883267802849159,0.941566155406919,0.8565984607167946,0.8031070454935396,0.9729675888000539,0.8800227831254223,0.8900937536976857,0.9843151594896041,0.8835776749754515,0.8425424823944871,1.0,0.7764213297941108,1.0,0.7804207600207289,0.8431759956827038,0.8345090554186027,0.8528554422915577,1.0,1.0,1.0,0.9857017502130504,0.7945378031211083,0.9338695581595158,0.9840426685280671,0.8043573691980235,0.9915611853473034,1.0,0.7946705869951222,0.7897075959518202,0.7905691294590785,0.9886690720818684,0.9520089474038567,0.9821308855895338,0.9886995001056106,0.9522283847057685,0.952031336864875,0.8050449881980384,0.9016962776390408,0.9509803978960598,0.9408664193472869,1.0,0.7391028441074535,0.984079527126021,0.8387990201143444,0.8446267511116061,1.0,1.0,1.0,1.0,1.0,0.8278902786314268,0.8048424441106842,0.7816167325055846,0.7752595287516197,0.7985254882741275,0.847541297606012,0.9868948702203085,0.9339547865078245,0.9823839938710508,0.9591811628226595,1.0,0.7877924472087376,0.8105829868670721,0.961497200100551,0.8240031677958991,0.893131233901777,0.783272956483057,0.7962543279574813,0.9472533965314417,1.0,0.9501574440159466,0.9639259594567311,0.9427526029347209,0.9531251760657004,1.0,0.903633979798018,0.840624941704807,0.8535120588285205,0.94202022370163,0.7913730944446558,0.7770989146230618,0.8780834125369238,0.8485144668951207,0.8464880603109303,1.0,0.9861116639499257,0.9772894525710932,0.9844440944496197,0.8045635128662969,0.8324547064162588,0.9843860086744247,1.0,1.0,1.0
CP031298.1_v1,0.9366827781225407,0.8552261037224218,0.9744549067015632,0.9191104768943537,0.9054806458318116,0.961497200100551,0.0,0.7628923157064742,0.7707053585817817,0.9779139741957791,0.9790380362483885,0.9777876064209385,0.9776889002948972,0.9023864167220977,0.9609424843661074,0.9739939735931071,0.977130337811692,1.0,1.0,0.976647691034074,0.9127235874825566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9213034229202213,0.8026359676085173,0.8098059221663411,1.0,0.9768022132480836,0.9544371867585248,0.8950378306405598,1.0,0.9766813992587241,0.979377028034565,1.0,0.9913821727114911,0.9773590987579756,0.9399202578622531,0.9770263867765402,0.920890263158347,0.9628729511894994,1.0,0.9163765457982168,0.9154113041020441,0.9170042664923581,1.0,0.9127235874825566,0.976647691034074,0.8025605838818697,0.8004306055694546,0.6975201579629149,0.9488003389397206,0.9079166922180939,0.9558584541812608,0.9128478464141186,0.9391402623492549,0.9700681401834328,0.9475364804654602,0.9721846229627211,0.9579576967379515,0.9659937471295218,0.9719708092283917,1.0,0.982612898151417,0.8482729828336066,0.9039784048050964,0.9921124732998634,0.9895723725568932,1.0,0.9773060468982011,1.0,1.0,0.8030608717659512,0.947996176924855,0.9134973833436821,0.9602335954967512,0.9866735222508509,1.0,1.0,0.941005187166686,0.9085955588446153,0.8873825580453499,0.8126212918569535,0.9529078990647738,0.8354145522389191,0.7545739870947024,0.9889382430611259,0.9531588227833255,0.897354614146474,0.9895723725568932,1.0,0.9898220488058128,1.0,0.9069439757642829,0.9573068745333729,0.9404606732407579,0.8774260164240943,1.0,1.0,1.0,1.0,1.0,0.9151247224062642,0.9275513622575328,0.9230764261642723,0.9402812280152623,0.9553042658433343,0.9758963349579898,0.891730640471517,0.9670785138430134,0.9787349097980778,0.9591908872420767,0.9893625259539798,0.87604184898871,0.9721768122497989,0.24208287359776348,0.9370447503800841,0.9875934684497054,0.9811436955962045,0.9110699965719311,0.9791926331847076,0.9758034197225461,0.9746379105274736,0.9641358240388804,0.9599483239543921,0.9531702139662981,0.841976695835837,0.9430405394234137,0.9870201463539349,0.9870201463539349,0.9594268548794556,0.9394766825901006,0.9393949864956884,0.9369694525005018,0.9882529341951882,1.0,0.8683946252472616,0.812237758050274,0.7903947103724843,0.9644567503379082,0.9247845964524649,0.8523748967029109,1.0,1.0,1.0,1.0
CP040680.1_v1,0.8987740238990019,0.7924323285137373,0.9554663668051908,0.8672803967037529,0.9105929508357904,0.9368059093887487,0.7628923157064742,0.0,0.2728255031731439,0.9786266633613605,0.9801875491451534,0.9772875868319807,0.977244179021887,0.916809727013677,0.9472931641330549,0.9691098862369932,0.9780861287242597,1.0,1.0,0.9786518157005613,0.9117453751122786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9394532066141543,0.7652675033324589,0.8622713360073345,1.0,0.9784011651345154,0.9278798533078492,0.8805601551671083,0.9919704410063436,0.9782563821193454,0.9781918156295225,0.9919704410063436,0.9869216000706428,0.9787066473200435,0.9228085798856253,0.9595171904028152,0.9060629156403175,0.9581802010474111,1.0,0.9185828635293072,0.8693285868378158,0.9195830838645989,0.9924884250169874,0.9080626482401484,0.9786518157005613,0.8519570968764457,0.8450154772411204,0.8075574163028815,0.9370038781923649,0.8602188716594665,0.9308029666589931,0.8228973005653479,0.9193503524925409,0.9576637709610596,0.9278123156952096,0.9609412534939982,0.9893687582403069,0.9606899285986774,0.9623236543569815,1.0,0.9886124417124361,0.8778677796904535,0.9246887751531194,0.9842611929974623,0.9713191982155289,0.9923055455853127,0.9784908082021069,1.0,1.0,0.8657343894881127,0.9361829522851016,0.9010964757598479,0.9701424715850661,0.958392643011191,1.0,1.0,0.9128474500800843,0.9246062739224786,0.9531814605218175,0.8597449939683273,0.9887790810907824,0.8324068356161795,0.8406959406897346,0.9889382430611259,0.9886995001056106,0.8802741915534441,0.9875450590609761,1.0,0.9879381921367049,1.0,0.9216458524219848,0.9894440675668761,0.8508061211664956,0.7938499708587001,1.0,1.0,0.9848673695888783,1.0,1.0,0.902698902223763,0.880249990421445,0.9055806724828992,0.9224129587094575,0.9357364166288401,0.9666961394669072,0.9217023328087758,0.963894514228113,0.9742058792379784,0.9346388766343703,0.9903496488475586,0.8605722447594292,0.9047276041470819,0.7628923157064742,0.9464788832827946,0.9603435696927131,0.9711873141067309,0.9242857709712039,0.9683537495818141,0.9820837500621182,0.988400696029211,0.955603069818965,0.9466225134671075,0.9439165735000656,0.8711401919887604,0.945770356029369,0.9821212422466248,0.9821212422466248,0.9466372244525426,0.9208054335753582,0.9207301916327276,0.9300984065177662,0.9636479024646997,1.0,0.8597971856098703,0.8455512804095087,0.8524180188447635,0.979937606428778,0.936585441673118,0.8075980858999685,1.0,1.0,1.0,1.0
CP046867.1_v1,0.8987740238990019,0.8026580911430349,0.9554663668051908,0.8672803967037529,0.9105929508357904,0.9368059093887487,0.7707053585817817,0.2728255031731439,0.0,0.9786266633613605,0.9801875491451534,0.9772875868319807,0.977244179021887,0.916809727013677,0.9472931641330549,0.9691098862369932,0.9780861287242597,1.0,1.0,0.9786518157005613,0.9117453751122786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9394532066141543,0.7740993113981047,0.8701696170290334,1.0,0.9784011651345154,0.9278798533078492,0.8805601551671083,0.9919704410063436,0.9782563821193454,0.9781918156295225,0.9919704410063436,0.9869216000706428,0.9787066473200435,0.9228085798856253,0.9595171904028152,0.9060629156403175,0.9581802010474111,1.0,0.9185828635293072,0.8693285868378158,0.9195830838645989,0.9924884250169874,0.9080626482401484,0.9786518157005613,0.8603247058798177,0.8528323326852759,0.8156999740572102,0.9370038781923649,0.8602188716594665,0.9308029666589931,0.8228973005653479,0.9193503524925409,0.9576637709610596,0.9278123156952096,0.9609412534939982,0.9893687582403069,0.9606899285986774,0.9623236543569815,1.0,0.9886124417124361,0.8856808225657609,0.9246887751531194,0.9842611929974623,0.9713191982155289,0.9923055455853127,0.9784908082021069,1.0,1.0,0.873521388887169,0.9361829522851016,0.9010964757598479,0.9853816698159844,0.958392643011191,1.0,1.0,0.9135165799962223,0.9246062739224786,0.9531814605218175,0.8597449939683273,0.9887790810907824,0.8324068356161795,0.8485942217114335,0.9889382430611259,0.9886995001056106,0.8802741915534441,0.9875450590609761,1.0,0.9879381921367049,1.0,0.9216458524219848,0.9894440675668761,0.8508061211664956,0.7938499708587001,1.0,1.0,0.9848673695888783,1.0,1.0,0.902698902223763,0.880249990421445,0.9055806724828992,0.9224129587094575,0.9357364166288401,0.9666961394669072,0.9217023328087758,0.963894514228113,0.9742058792379784,0.9346388766343703,0.9903496488475586,0.8605722447594292,0.9047276041470819,0.7707053585817817,0.9464788832827946,0.9603435696927131,0.9711873141067309,0.9242857709712039,0.9683537495818141,0.9820837500621182,0.988400696029211,0.955603069818965,0.9466225134671075,0.9439165735000656,0.8788709923074856,0.945770356029369,0.9821212422466248,0.9821212422466248,0.9466372244525426,0.9208054335753582,0.9207301916327276,0.9300984065177662,0.9636479024646997,1.0,0.8678569561549243,0.8455512804095087,0.8603133042766531,0.979937606428778,0.936585441673118,0.8075980858999685,1.0,1.0,1.0,1.0
CP050016.1_v1,0.9843859652152597,0.9784423262898216,0.973519510235408,0.9866616949814567,0.9843859652152597,1.0,0.9779139741957791,0.9786266633613605,0.9786266633613605,0.0,0.7168834641112947,0.9073783605363764,0.9004290775606517,1.0,1.0,0.9923886472039298,0.9095390645047229,0.9375438608610389,1.0,0.894474852497518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9920308485682172,0.9220411169443841,1.0,0.9924336847944392,1.0,0.9708134741234417,0.9313628418604825,1.0,0.9134342974002996,1.0,0.9923886472039298,1.0,0.911735730468477,0.9344073702018506,1.0,1.0,0.9294654970902132,1.0,1.0,0.9914081300226011,1.0,1.0,0.9923886472039298,1.0,1.0,1.0,1.0,0.894474852497518,0.9309377768739666,0.9784773228660734,0.9780245252373398,1.0,1.0,1.0,1.0,1.0,1.0,0.9898246105856251,0.9903899099975347,1.0,1.0,1.0,1.0,1.0,0.9889641483297364,1.0,1.0,1.0,1.0,0.8993533474640429,1.0,1.0,0.9775953363057464,1.0,1.0,1.0,1.0,0.9905696532571469,0.9904096954769517,1.0,1.0,1.0,0.9788676730446144,0.9837637121504034,0.9774607859812213,0.9774370932474993,0.9862974487429413,0.991803158527309,1.0,0.9687087157147918,1.0,1.0,0.9783887321222542,0.984322750499532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9910825570791604,1.0,1.0,1.0,1.0,0.9923886472039298,1.0,0.9779139741957791,1.0,1.0,1.0,1.0,1.0,1.0,0.9924722884434471,0.991803158527309,1.0,0.9808323333351759,0.965503965967945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787220689878116,0.962061947807009,0.9291563952771793,1.0,0.9923886472039298,1.0,1.0,1.0,1.0,1.0
