replicon,cats,proteins
AP027740.1,1,1
CP002989.1,2,13
CP007061.1,2,4
CP031298.1,2,4
CP031299.1,1,1
CP031300.1,1,2
CP031301.1,2,3
CP031304.1,8,18
CP040679.1,2,2
CP040680.1,3,6
CP040681.1,1,1
CP046867.1,3,6
CP046868.1,1,1
CP050015.1,3,9
CP050016.1,2,6
CP050017.1,1,2
CP050018.1,3,3
CP050019.1,1,1
CP104004.1,2,5
CP119561.1,1,3
CP119780.1,1,2
CP119781.1,2,3
CP119793.1,3,6
CP119803.1,1,1
CP119805.1,1,1
CP119807.1,1,2
CP119808.1,2,2
CP120469.1,4,9
CP126163.1,1,2
CP135527.1,1,1
KF527230.1,1,1
NC_001771.1,1,1
NC_001811.1,1,1
NC_001869.1,1,5
NC_002097.1,1,1
NC_002101.1,1,1
NC_002608.1,3,9
NC_004852.1,1,1
NC_004853.1,1,1
NC_005562.1,1,1
NC_006389.1,1,1
NC_006390.1,1,1
NC_006392.1,1,2
NC_006393.1,1,1
NC_006394.1,1,1
NC_006422.1,1,1
NC_006423.1,1,1
NC_006424.1,1,1
NC_006425.1,1,1
NC_007427.1,1,1
NC_007428.1,1,1
NC_008213.1,2,3
NC_008696.1,1,1
NC_009136.1,1,1
NC_010011.1,1,2
NC_010088.1,1,1
NC_010366.1,1,4
NC_010367.1,1,2
NC_010369.1,1,2
NC_010597.1,1,1
NC_010598.1,1,1
NC_011299.1,1,1
NC_012030.1,1,8
NC_012624.1,1,1
NC_013157.1,1,1
NC_013201.1,3,4
NC_013744.1,1,5
NC_013745.1,5,13
NC_013746.1,1,2
NC_013747.1,2,3
NC_013748.1,1,1
NC_013749.1,2,2
NC_013770.1,1,1
NC_013888.1,1,1
NC_013923.1,3,3
NC_013924.1,2,2
NC_013925.1,4,7
NC_013964.1,2,3
NC_013966.1,3,7
NC_014298.1,3,4
NC_014299.1,2,5
NC_014300.1,1,1
NC_014302.1,1,1
NC_014731.1,1,1
NC_014735.1,2,3
NC_014736.1,5,11
NC_014737.1,1,3
NC_015632.1,1,1
NC_015658.1,4,7
NC_015659.1,1,1
NC_015667.1,1,1
NC_015944.1,3,5
NC_016637.1,1,1
NC_017457.1,1,1
NC_017942.1,3,4
NC_017943.1,3,3
NC_017944.1,3,6
NC_018225.1,1,1
NC_019285.1,1,1
NC_019963.1,2,5
NC_019967.1,2,6
NC_019972.1,1,3
NC_019976.1,2,4
NC_021913.1,2,2
NC_021914.1,1,1
NC_023011.1,1,2
NZ_AP017559.1,2,2
NZ_AP017570.1,1,1
NZ_AP017571.1,1,1
NZ_CP007056.1,5,7
NZ_CP007057.1,3,4
NZ_CP007058.1,1,1
NZ_CP007059.1,2,2
NZ_CP007552.1,3,4
NZ_CP007554.1,3,6
NZ_CP008875.1,3,5
NZ_CP009519.1,1,1
NZ_CP009523.1,1,1
NZ_CP009525.1,1,1
NZ_CP009527.1,1,1
NZ_CP009529.1,1,1
NZ_CP010530.1,3,5
NZ_CP010531.1,2,2
NZ_CP010532.1,1,1
NZ_CP010533.1,1,2
NZ_CP010534.1,2,3
NZ_CP011565.1,3,5
NZ_CP011948.1,4,6
NZ_CP011949.1,2,3
NZ_CP011950.1,1,1
NZ_CP019068.1,1,2
NZ_CP019069.1,1,1
NZ_CP019156.1,1,1
NZ_CP019157.1,1,1
NZ_CP019286.1,1,2
NZ_CP019328.1,2,3
NZ_CP019329.1,1,1
NZ_CP019330.1,1,2
NZ_CP024045.1,2,2
NZ_CP024046.1,2,2
NZ_CP026310.1,2,2
NZ_CP026311.1,2,3
NZ_CP026312.1,2,2
NZ_CP026313.1,1,2
NZ_CP026314.1,1,1
NZ_CP027032.1,2,2
NZ_CP030065.1,1,1
NZ_CP031147.1,2,2
NZ_CP031149.1,1,1
NZ_CP031151.1,2,2
NZ_CP031152.1,4,4
NZ_CP031306.1,4,11
NZ_CP031307.1,1,1
NZ_CP031308.1,2,2
NZ_CP031309.1,1,2
NZ_CP031312.1,3,5
NZ_CP031313.1,1,3
NZ_CP031314.1,1,1
NZ_CP034146.1,1,1
NZ_CP034344.1,2,3
NZ_CP034690.1,1,1
NZ_CP034691.1,2,7
NZ_CP034693.1,1,3
NZ_CP034941.1,2,7
NZ_CP034942.1,1,3
NZ_CP035120.1,1,1
NZ_CP035121.1,1,2
NZ_CP035122.1,1,4
NZ_CP038632.1,3,5
NZ_CP038633.1,2,4
NZ_CP039132.1,1,1
NZ_CP039133.1,1,1
NZ_CP039134.1,1,1
NZ_CP039135.1,1,1
NZ_CP039136.1,3,4
NZ_CP039137.1,3,5
NZ_CP039142.1,3,5
NZ_CP039376.1,3,4
NZ_CP040331.1,3,8
NZ_CP040332.1,4,6
NZ_CP040638.1,3,3
NZ_CP040639.1,1,1
NZ_CP042240.1,2,2
NZ_CP044130.1,2,2
NZ_CP044524.1,1,1
NZ_CP044525.1,2,3
NZ_CP045489.1,4,9
NZ_CP045490.1,4,4
NZ_CP045491.1,1,1
NZ_CP053942.1,2,2
NZ_CP053943.1,1,2
NZ_CP054586.1,3,5
NZ_CP054588.1,1,3
NZ_CP054589.1,3,6
NZ_CP054590.1,1,2
NZ_CP054708.1,5,7
NZ_CP054709.1,4,8
NZ_CP054710.1,2,2
NZ_CP054711.1,2,3
NZ_CP054712.1,1,1
NZ_CP058530.1,2,2
NZ_CP058531.1,3,3
NZ_CP058532.1,3,5
NZ_CP058580.1,2,2
NZ_CP063206.1,5,8
NZ_CP063207.1,2,3
NZ_CP063208.1,1,2
NZ_CP064790.1,3,4
NZ_CP064792.1,1,1
NZ_CP069189.1,2,3
NZ_CP069190.1,2,3
NZ_CP069191.1,2,3
NZ_CP069192.1,4,7
NZ_CP069193.1,2,2
NZ_CP070333.1,3,3
NZ_CP070334.1,1,1
NZ_CP070335.2,4,9
NZ_CP070337.2,1,2
NZ_CP070375.1,4,9
NZ_CP070376.1,2,2
NZ_CP073367.1,1,2
NZ_CP073368.1,3,7
NZ_CP073369.1,3,5
NZ_CP073370.1,1,1
NZ_CP073371.1,1,3
NZ_CP073372.1,3,3
NZ_CP077714.1,1,1
NZ_CP077716.1,1,1
NZ_CP078064.1,4,11
NZ_CP078065.1,2,2
NZ_CP081959.1,2,5
NZ_CP081960.1,3,5
NZ_CP082247.1,4,14
NZ_CP082248.1,4,22
NZ_CP082285.1,1,2
NZ_CP082287.1,3,4
NZ_CP082288.1,3,4
NZ_CP082289.1,1,1
NZ_CP083664.1,3,4
NZ_CP083667.1,5,8
NZ_CP083668.1,2,2
NZ_CP083669.1,2,2
NZ_CP084319.1,1,1
NZ_CP084320.1,2,3
NZ_CP084464.1,1,1
NZ_CP084465.1,1,1
NZ_CP084467.1,2,5
NZ_CP084468.1,1,4
NZ_CP084470.1,2,5
NZ_CP084471.1,1,2
NZ_CP084473.1,4,12
NZ_CP084474.1,3,5
NZ_CP084475.1,3,4
NZ_CP084476.1,1,2
NZ_CP084477.1,3,4
NZ_CP084478.1,2,4
NZ_CP084880.1,1,3
NZ_CP084881.1,3,4
NZ_CP084882.1,3,8
NZ_CP084883.1,4,8
NZ_CP084884.1,1,2
NZ_CP084885.1,2,5
NZ_CP085325.1,1,1
NZ_CP085883.1,3,7
NZ_CP085884.1,1,2
NZ_CP087722.1,1,3
NZ_CP087725.1,1,1
NZ_CP089469.1,3,11
NZ_CP089470.1,1,1
NZ_CP089594.1,1,1
NZ_CP089595.1,3,3
NZ_CP090372.1,3,4
NZ_CP090373.1,2,3
NZ_CP095006.1,1,2
NZ_CP095007.1,3,5
NZ_CP095009.1,2,6
NZ_CP095010.1,1,2
NZ_CP095398.1,3,4
NZ_CP095399.1,3,3
NZ_CP095483.1,1,1
NZ_CP095484.1,1,1
NZ_CP095485.1,1,2
NZ_CP095486.1,1,1
NZ_CP095492.1,3,3
NZ_CP095493.1,2,2
NZ_CP095494.1,1,2
NZ_CP096020.1,3,5
NZ_CP096021.1,4,5
NZ_CP096022.1,1,1
NZ_CP096023.1,1,2
NZ_CP098515.1,2,3
NZ_CP098516.1,2,2
NZ_CP098517.1,2,2
NZ_CP098519.1,1,1
NZ_CP098520.1,2,3
NZ_CP099392.1,3,3
NZ_CP099393.1,1,2
NZ_CP100405.1,4,7
NZ_CP100406.1,1,2
NZ_CP100408.1,4,6
NZ_CP100409.1,2,5
NZ_CP100410.1,2,2
NZ_CP100446.1,2,4
NZ_CP100447.1,2,2
NZ_CP100449.1,2,2
NZ_CP100450.1,1,1
NZ_CP100451.1,2,2
NZ_CP100453.1,1,1
NZ_CP100455.1,4,4
NZ_CP100456.1,1,1
NZ_CP100457.1,1,2
NZ_CP100458.1,2,2
NZ_CP100459.1,1,1
NZ_CP100460.1,2,2
NZ_CP101155.1,2,3
NZ_CP101324.1,1,1
NZ_CP101826.1,1,1
NZ_CP101874.1,2,4
NZ_CP101875.1,1,2
NZ_CP104742.1,4,7
NZ_CP104743.1,1,2
NZ_CP104744.1,2,2
NZ_CP106967.1,3,4
NZ_CP106968.1,1,2
NZ_CP106969.1,1,1
NZ_CP106970.1,1,1
NZ_CP109786.1,1,1
NZ_CP109980.1,2,3
NZ_CP109981.1,4,9
NZ_CP109982.1,2,5
NZ_CP110250.1,2,3
NZ_CP110251.1,4,8
NZ_CP110252.1,2,3
NZ_CP111037.1,2,2
NZ_CP111040.1,3,4
NZ_CP111041.1,2,5
NZ_CP111042.1,3,4
NZ_CP119560.1,1,1
NZ_CP119783.1,3,7
NZ_CP119784.1,3,7
NZ_CP119788.1,1,3
NZ_CP119790.1,4,6
NZ_CP119792.1,3,6
NZ_CP119797.1,2,2
NZ_CP119798.1,3,4
NZ_CP119799.1,3,9
NZ_CP119800.1,2,4
NZ_CP119801.1,1,1
NZ_CP119806.1,2,2
NZ_CP119810.1,2,2
NZ_CP119811.1,1,1
NZ_CP119812.1,3,4
NZ_CP119813.1,2,9
NZ_CP119990.1,3,4
NZ_CP119991.1,1,1
NZ_CP120471.1,3,8
NZ_CP120472.1,3,9
NZ_CP126155.1,3,3
NZ_CP126159.1,3,3
NZ_CP126160.1,1,1
NZ_CP126164.1,2,5
NZ_CP127175.1,2,2
NZ_CP127176.1,2,2
NZ_CP128378.1,4,10
NZ_CP135523.1,4,7
NZ_CP135524.1,3,6
NZ_CP135525.1,2,2
NZ_CP135526.1,1,1
NZ_JADPQC010000006.1,2,4
NZ_JAKRVX010000010.1,1,1
NZ_KJ619463.1,1,1
NZ_KX687704.1,1,1
NZ_KX906370.1,1,3
NZ_LN831303.1,2,4
NZ_LN831304.1,1,1
NZ_LN831305.1,1,1
NZ_MJCD01000019.1,1,2
NZ_MJCD01000052.1,1,1
NZ_MN477947.1,1,2
NZ_MN918441.1,2,3
NZ_MN918442.1,2,3
NZ_MN918443.1,2,2
NZ_QJOW01000005.1,1,1
NZ_QJOW01000006.1,2,2
NZ_QKNW01000002.1,2,2
NZ_QKNW01000003.1,2,2
