target_plasmid,n_unique_sources
CP031304.1,1
CP031299.1,1
CP031301.1,2
CP046867.1,2
CP040680.1,2
NZ_CP073368.1,1
CP007061.1,1
NZ_CP104743.1,1
NZ_CP007554.1,2
NC_017944.1,2
NZ_CP054708.1,1
NZ_CP039137.1,1
NZ_CP073369.1,1
NC_006392.1,1
NZ_CP110252.1,2
NZ_CP109786.1,3
NZ_CP109982.1,1
CP135527.1,2
NZ_CP119798.1,1
NZ_CP119801.1,1
NZ_CP119797.1,1
