source_plasmid,plasmid,virus,total,frac_plasmid,diff_from_expected
CP007061_1_1,1,2,3,0.3333333333333333,0.290754153865188
CP031304_1_1,9,0,9,1.0,0.9574208205318546
CP040680_1_1,14,0,14,1.0,0.9574208205318546
CP040680_1_2,34,0,34,1.0,0.9574208205318546
CP046867_1_1,34,0,34,1.0,0.9574208205318546
CP046867_1_2,14,0,14,1.0,0.9574208205318546
CP050018_1_1,1,0,1,1.0,0.9574208205318546
NC_006392_1_2,0,1,1,0.0,-0.04257917946814533
NC_006392_1_3,1,1,2,0.5,0.4574208205318547
NC_012030_1_1,1,25,26,0.038461538461538464,-0.004117641006606866
NC_012030_1_5,0,10,10,0.0,-0.04257917946814533
NC_013966_1_2,1,2,3,0.3333333333333333,0.290754153865188
NC_017944_1_2,11,0,11,1.0,0.9574208205318546
NC_017944_1_3,23,0,23,1.0,0.9574208205318546
NZ_CP007554_1_1,23,0,23,1.0,0.9574208205318546
NZ_CP007554_1_2,11,0,11,1.0,0.9574208205318546
NZ_CP054709_1_2,1,0,1,1.0,0.9574208205318546
NZ_CP073368_1_6,3,2,5,0.6,0.5574208205318546
NZ_CP109982_1_1,6,0,6,1.0,0.9574208205318546
NZ_CP109982_1_3,6,0,6,1.0,0.9574208205318546
NZ_CP110252_1_1,11,0,11,1.0,0.9574208205318546
NZ_CP135524_1_2,5,0,5,1.0,0.9574208205318546
NZ_CP135524_1_3,2,0,2,1.0,0.9574208205318546
