protein_id	plasmid	cluster_id	cluster_rep
CP002989.1|CP002989.1_00201	CP002989.1	cluster_00064	CP002989.1|CP002989.1_00201
CP002989.1|CP002989.1_00202	CP002989.1	cluster_00065	CP002989.1|CP002989.1_00202
CP002989.1|CP002989.1_00214	CP002989.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP119788.1|NZ_CP119788.1_00104	NZ_CP119788.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP038633.1|NZ_CP038633.1_00080	NZ_CP038633.1	cluster_00066	CP002989.1|CP002989.1_00214
NC_019967.1|NC_019967.1_00079	NC_019967.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP038632.1|NZ_CP038632.1_00136	NZ_CP038632.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP070335.2|NZ_CP070335.2_00240	NZ_CP070335.2	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP070375.1|NZ_CP070375.1_00220	NZ_CP070375.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP095398.1|NZ_CP095398.1_00753	NZ_CP095398.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP098515.1|NZ_CP098515.1_00030	NZ_CP098515.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP128378.1|NZ_CP128378.1_00078	NZ_CP128378.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_LN831303.1|NZ_LN831303.1_00257	NZ_LN831303.1	cluster_00066	CP002989.1|CP002989.1_00214
NZ_CP054590.1|NZ_CP054590.1_00022	NZ_CP054590.1	cluster_00066	CP002989.1|CP002989.1_00214
CP002989.1|CP002989.1_00215	CP002989.1	cluster_00067	CP002989.1|CP002989.1_00215
CP002989.1|CP002989.1_00219	CP002989.1	cluster_00068	CP002989.1|CP002989.1_00219
CP002989.1|CP002989.1_00220	CP002989.1	cluster_00069	CP002989.1|CP002989.1_00220
NZ_CP084465.1|NZ_CP084465.1_00044	NZ_CP084465.1	cluster_00069	CP002989.1|CP002989.1_00220
CP002989.1|CP002989.1_00221	CP002989.1	cluster_00070	CP002989.1|CP002989.1_00221
CP002989.1|CP002989.1_00223	CP002989.1	cluster_00071	CP002989.1|CP002989.1_00223
CP002989.1|CP002989.1_00225	CP002989.1	cluster_00072	CP002989.1|CP002989.1_00225
CP002989.1|CP002989.1_00228	CP002989.1	cluster_00073	CP002989.1|CP002989.1_00228
CP002989.1|CP002989.1_00230	CP002989.1	cluster_00074	CP002989.1|CP002989.1_00230
CP002989.1|CP002989.1_00234	CP002989.1	cluster_00075	CP002989.1|CP002989.1_00234
CP002989.1|CP002989.1_00235	CP002989.1	cluster_00076	CP002989.1|CP002989.1_00235
NC_018225.1|NC_018225.1_00056	NC_018225.1	cluster_00076	CP002989.1|CP002989.1_00235
NC_019963.1|NC_019963.1_00255	NC_019963.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP008875.1|NZ_CP008875.1_00001	NZ_CP008875.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP011565.1|NZ_CP011565.1_00001	NZ_CP011565.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP095006.1|NZ_CP095006.1_00407	NZ_CP095006.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP096020.1|NZ_CP096020.1_00290	NZ_CP096020.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP100447.1|NZ_CP100447.1_00012	NZ_CP100447.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP100450.1|NZ_CP100450.1_00101	NZ_CP100450.1	cluster_00076	CP002989.1|CP002989.1_00235
NC_021913.1|NC_021913.1_00340	NC_021913.1	cluster_00076	CP002989.1|CP002989.1_00235
CP031304.1|CP031304.1_01001	CP031304.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_AP017570.1|NZ_AP017570.1_00139	NZ_AP017570.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP034941.1|NZ_CP034941.1_00544	NZ_CP034941.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP070334.1|NZ_CP070334.1_00047	NZ_CP070334.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP096023.1|NZ_CP096023.1_00033	NZ_CP096023.1	cluster_00076	CP002989.1|CP002989.1_00235
NZ_CP031147.1|NZ_CP031147.1_00094	NZ_CP031147.1	cluster_00076	CP002989.1|CP002989.1_00235
CP119793.1|CP119793.1_00208	CP119793.1	cluster_00076	CP002989.1|CP002989.1_00235
CP002989.1|CP002989.1_00249	CP002989.1	cluster_00077	CP002989.1|CP002989.1_00249
CP002989.1|CP002989.1_00250	CP002989.1	cluster_00078	CP002989.1|CP002989.1_00250
CP040680.1|CP040680.1_00159	CP040680.1	cluster_00078	CP002989.1|CP002989.1_00250
CP046867.1|CP046867.1_00175	CP046867.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_001869.1|NC_001869.1_00040	NC_001869.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_001869.1|NC_001869.1_00093	NC_001869.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_001869.1|NC_001869.1_00215	NC_001869.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_002608.1|NC_002608.1_00040	NC_002608.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_002608.1|NC_002608.1_00092	NC_002608.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_002608.1|NC_002608.1_00398	NC_002608.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_010366.1|NC_010366.1_00040	NC_010366.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_010369.1|NC_010369.1_00104	NC_010369.1	cluster_00078	CP002989.1|CP002989.1_00250
NC_019963.1|NC_019963.1_00062	NC_019963.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP045489.1|NZ_CP045489.1_00367	NZ_CP045489.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP084475.1|NZ_CP084475.1_00057	NZ_CP084475.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP063206.1|NZ_CP063206.1_00285	NZ_CP063206.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP104744.1|NZ_CP104744.1_00050	NZ_CP104744.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP106967.1|NZ_CP106967.1_00222	NZ_CP106967.1	cluster_00078	CP002989.1|CP002989.1_00250
NZ_CP106970.1|NZ_CP106970.1_00030	NZ_CP106970.1	cluster_00078	CP002989.1|CP002989.1_00250
CP002989.1|CP002989.1_00032	CP002989.1	cluster_00078	CP002989.1|CP002989.1_00250
CP119781.1|CP119781.1_00122	CP119781.1	cluster_00078	CP002989.1|CP002989.1_00250
